,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,246607000.0,120841000.0,121556000.0
Repayment Of Debt,-2558000.0,-1762405000.0,-122028000.0
Issuance Of Debt,0.0,1833492000.0,683377000.0
Capital Expenditure,-128361000.0,-135023000.0,-122585000.0
End Cash Position,69510000.0,21553000.0,12971000.0
Beginning Cash Position,21553000.0,12971000.0,35130000.0
Changes In Cash,47957000.0,8582000.0,-22159000.0
Financing Cash Flow,-33150000.0,49398000.0,540611000.0
Net Issuance Payments Of Debt,-2558000.0,71087000.0,561349000.0
Net Long Term Debt Issuance,-2558000.0,71087000.0,561349000.0
Long Term Debt Payments,-2558000.0,-1762405000.0,-122028000.0
Long Term Debt Issuance,0.0,1833492000.0,683377000.0
Investing Cash Flow,-293861000.0,-296680000.0,-806911000.0
Dividends Received Cfi,,0.0,0.0
Net Investment Purchase And Sale,-162050000.0,-166938000.0,-197000000.0
Net Business Purchase And Sale,-3450000.0,4206000.0,-487326000.0
Sale Of Business,0.0,4206000.0,0.0
Purchase Of Business,-3450000.0,0.0,-487326000.0
Net Intangibles Purchase And Sale,-80130000.0,-76799000.0,-71285000.0
Purchase Of Intangibles,-80130000.0,-76799000.0,-71285000.0
Net PPE Purchase And Sale,-48231000.0,-57149000.0,-51300000.0
Sale Of PPE,0.0,1075000.0,0.0
Purchase Of PPE,-48231000.0,-58224000.0,-51300000.0
Operating Cash Flow,374968000.0,255864000.0,244141000.0
Taxes Refund Paid,-74449000.0,-53482000.0,-48917000.0
Interest Paid Cfo,-395794000.0,-370257000.0,-371865000.0
Change In Working Capital,-180030000.0,-239600000.0,-234494000.0
Change In Other Current Assets,24898000.0,26792000.0,-42100000.0
Change In Payable,-10328000.0,9306000.0,40718000.0
Change In Prepaid Assets,-695000.0,-27075000.0,-1789000.0
Change In Receivables,-200452000.0,-233309000.0,-278644000.0
Other Non Cash Items,299411000.0,405761000.0,316075000.0
Stock Based Compensation,1356000.0,4175000.0,-9389000.0
Provisionand Write Offof Assets,21385000.0,13156000.0,9481000.0
Depreciation And Amortization,224600000.0,216203000.0,212636000.0
Depreciation,224600000.0,216203000.0,212636000.0
Gain Loss On Investment Securities,3871000.0,55941000.0,9436000.0
Net Income From Continuing Operations,261842000.0,4076000.0,109868000.0
