,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-220941392.0,-324530340.0,-169381880.0,-104419440.0
Tax Rate For Calcs,0.392,0.34,0.34,0.34
Normalized EBITDA,4610604000.0,4263436000.0,3869290000.0,2653466000.0
Total Unusual Items,-563626000.0,-954501000.0,-498182000.0,-307116000.0
Total Unusual Items Excluding Goodwill,-563626000.0,-954501000.0,-498182000.0,-307116000.0
Net Income From Continuing Operation Net Minority Interest,-141749000.0,-655266000.0,-615796000.0,-777234000.0
Reconciled Depreciation,1562229000.0,1716717000.0,1625121000.0,2187283000.0
Reconciled Cost Of Revenue,27853701000.0,25613945000.0,24767548000.0,18093707000.0
EBITDA,4046978000.0,3308935000.0,3371108000.0,2346350000.0
EBIT,2484749000.0,1592218000.0,1745987000.0,159067000.0
Net Interest Income,-2273893000.0,-1611609000.0,-2109176000.0,-1590407000.0
Interest Expense,2718592000.0,2059495000.0,2290059000.0,1606876000.0
Interest Income,527178000.0,486986000.0,340955000.0,262342000.0
Normalized Income,200935608.0,-25295340.0,-286995880.0,-574537440.0
Net Income From Continuing And Discontinued Operation,-141747000.0,-649301000.0,-615151000.0,-777234000.0
Total Expenses,29669223000.0,27181387000.0,26262200000.0,23699693000.0
Diluted Average Shares,501777000.0,509454000.0,500405733.0,455862066.0
Basic Average Shares,501777000.0,509454000.0,500405733.0,455862066.0
Diluted EPS,-0.28,-1.27,-1.2,-1.65
Basic EPS,-0.28,-1.27,-1.2,-1.65
Diluted NI Availto Com Stockholders,-141747000.0,-649301000.0,-615151000.0,-777234000.0
Net Income Common Stockholders,-141747000.0,-649301000.0,-615151000.0,-777234000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-141747000.0,-649301000.0,-615151000.0,-777234000.0
Minority Interests,422000.0,75000.0,-522000.0,-1395000.0
Net Income Including Noncontrolling Interests,-142169000.0,-649376000.0,-614629000.0,-775839000.0
Net Income Discontinuous Operations,2000.0,5965000.0,645000.0,0.0
Net Income Continuous Operations,-142171000.0,-655341000.0,-615274000.0,-775839000.0
Tax Provision,-91672000.0,188064000.0,71202000.0,-671970000.0
Pretax Income,-233843000.0,-467277000.0,-544072000.0,-1447809000.0
Special Income Charges,-451391000.0,-992652000.0,-418388000.0,-210328000.0
Other Special Charges,451391000.0,992652000.0,418388000.0,210328000.0
Net Non Operating Interest Income Expense,-2273893000.0,-1611609000.0,-2109176000.0,-1590407000.0
Total Other Finance Cost,82479000.0,39100000.0,160072000.0,245873000.0
Interest Expense Non Operating,2718592000.0,2059495000.0,2290059000.0,1606876000.0
Interest Income Non Operating,527178000.0,486986000.0,340955000.0,262342000.0
Operating Income,1908017000.0,1733311000.0,1687373000.0,49110000.0
Operating Expense,1815522000.0,1567442000.0,1494652000.0,5605986000.0
Other Operating Expenses,513394000.0,1989000.0,381186000.0,796629000.0
Depreciation And Amortization In Income Statement,841533000.0,724127000.0,414182000.0,1695006000.0
Depreciation Income Statement,841533000.0,724127000.0,414182000.0,1695006000.0
Selling General And Administration,259308000.0,324950000.0,550261000.0,2003062000.0
Selling And Marketing Expense,262682000.0,138175000.0,104965000.0,1296114000.0
General And Administrative Expense,-3374000.0,186775000.0,445296000.0,706948000.0
Gross Profit,3723539000.0,3300753000.0,3182025000.0,5655096000.0
Cost Of Revenue,27853701000.0,25613945000.0,24767548000.0,18093707000.0
Total Revenue,31577240000.0,28914698000.0,27949573000.0,23748803000.0
Operating Revenue,31577240000.0,28914698000.0,27949573000.0,23748803000.0
