,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-16476219.030571,-14783895.79627,-48090280.0,-15702560.0
Tax Rate For Calcs,0.146133,0.132195,0.34,0.34
Normalized EBITDA,799050000.0,680080000.0,505885000.0,592684000.0
Total Unusual Items,-112748000.0,-111834000.0,-141442000.0,-46184000.0
Total Unusual Items Excluding Goodwill,-112748000.0,-111834000.0,-141442000.0,-46184000.0
Net Income From Continuing Operation Net Minority Interest,354605000.0,343389000.0,192176000.0,386072000.0
Reconciled Depreciation,6569000.0,5671000.0,3972000.0,1647000.0
Reconciled Cost Of Revenue,7014000.0,5334000.0,3887000.0,3041000.0
EBITDA,686302000.0,568246000.0,364443000.0,546500000.0
EBIT,679733000.0,562575000.0,360471000.0,544853000.0
Net Interest Income,-245330000.0,-163055000.0,-172102000.0,-152692000.0
Interest Expense,254039000.0,165737000.0,175974000.0,147377000.0
Interest Income,985000.0,1027000.0,1272000.0,1146000.0
Normalized Income,450876780.969429,440439104.20373,285527720.0,416553440.0
Net Income From Continuing And Discontinued Operation,354605000.0,343389000.0,192176000.0,386072000.0
Total Expenses,145222000.0,113757000.0,64667000.0,60698000.0
Diluted Average Shares,87005000.0,87030345.0,99837000.0,100769000.0
Basic Average Shares,87005000.0,87030345.0,99757000.0,100643000.0
Diluted EPS,4.06993,3.972086,1.9249,3.83126
Basic EPS,4.07569,3.972086,1.92644,3.83605
Diluted NI Availto Com Stockholders,354605000.0,343389000.0,192176000.0,386072000.0
Net Income Common Stockholders,354605000.0,343389000.0,192176000.0,386072000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,354605000.0,343389000.0,192176000.0,386072000.0
Minority Interests,-8881000.0,-989000.0,-2784000.0,-14628000.0
Net Income Including Noncontrolling Interests,363486000.0,344378000.0,194960000.0,400700000.0
Net Income Continuous Operations,363486000.0,344378000.0,194960000.0,400700000.0
Tax Provision,62208000.0,52460000.0,-10463000.0,-3224000.0
Pretax Income,425694000.0,396838000.0,184497000.0,397476000.0
Special Income Charges,-112748000.0,-110532000.0,-159287000.0,-9458000.0
Other Special Charges,112748000.0,110532000.0,159287000.0,9458000.0
Net Non Operating Interest Income Expense,-245330000.0,-163055000.0,-172102000.0,-152692000.0
Total Other Finance Cost,-7724000.0,-1655000.0,-2600000.0,6461000.0
Interest Expense Non Operating,254039000.0,165737000.0,175974000.0,147377000.0
Interest Income Non Operating,985000.0,1027000.0,1272000.0,1146000.0
Operating Income,103537000.0,105985000.0,155489000.0,156532000.0
Operating Expense,138208000.0,108423000.0,60780000.0,57657000.0
Other Operating Expenses,37327000.0,16854000.0,8396000.0,9902000.0
Depreciation And Amortization In Income Statement,6569000.0,5671000.0,3972000.0,1647000.0
Depreciation Income Statement,6569000.0,5671000.0,3972000.0,1647000.0
Selling General And Administration,53511000.0,48233000.0,18027000.0,24123000.0
Selling And Marketing Expense,13037000.0,10939000.0,1027000.0,1583000.0
General And Administrative Expense,40474000.0,37294000.0,17000000.0,22540000.0
Gross Profit,241745000.0,214408000.0,216269000.0,214189000.0
Cost Of Revenue,7014000.0,5334000.0,3887000.0,3041000.0
Total Revenue,248759000.0,219742000.0,220156000.0,217230000.0
Operating Revenue,248759000.0,219742000.0,220156000.0,217230000.0
