,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,13170651.0,6150011.2,8501776.0,9499152.441009
Tax Rate For Calcs,0.0897,0.0808,0.101,0.094708
Normalized EBITDA,557376000.0,460603000.0,259154000.0,322504000.0
Total Unusual Items,146830000.0,76114000.0,84176000.0,100299000.0
Total Unusual Items Excluding Goodwill,146830000.0,76114000.0,84176000.0,100299000.0
Net Income From Continuing Operation Net Minority Interest,535012000.0,404605000.0,239467000.0,324707000.0
Reconciled Depreciation,20890000.0,29206000.0,24366000.0,13217000.0
Reconciled Cost Of Revenue,873665000.0,1027729000.0,739473000.0,737031000.0
EBITDA,704206000.0,536717000.0,343330000.0,422803000.0
EBIT,683316000.0,507511000.0,318964000.0,409586000.0
Net Interest Income,12899000.0,55914000.0,692000.0,37852000.0
Interest Expense,81730000.0,41092000.0,45016000.0,31689000.0
Interest Income,77343000.0,79812000.0,37674000.0,66400000.0
Normalized Income,401352651.0,334641011.2,163792776.0,233907152.441009
Net Income From Continuing And Discontinued Operation,535012000.0,404605000.0,239467000.0,324707000.0
Total Expenses,1122584000.0,1305560000.0,996729000.0,968534000.0
Diluted Average Shares,282024349.0,277369022.0,277359404.0,279315057.0
Basic Average Shares,282024349.0,277369022.0,277359404.0,279315057.0
Diluted EPS,1.89525,1.45486,0.849353,1.163928
Basic EPS,1.89525,1.45486,0.849353,1.163928
Diluted NI Availto Com Stockholders,535012000.0,404605000.0,239467000.0,324707000.0
Net Income Common Stockholders,535012000.0,404605000.0,239467000.0,324707000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,535012000.0,404605000.0,239467000.0,324707000.0
Minority Interests,-12583000.0,-24113000.0,-6629000.0,-17400000.0
Net Income Including Noncontrolling Interests,547595000.0,428718000.0,246096000.0,342107000.0
Net Income Continuous Operations,547595000.0,428718000.0,246096000.0,342107000.0
Tax Provision,53991000.0,37701000.0,27852000.0,35790000.0
Pretax Income,601586000.0,466419000.0,273948000.0,377897000.0
Net Non Operating Interest Income Expense,12899000.0,55914000.0,692000.0,37852000.0
Total Other Finance Cost,-17286000.0,-17194000.0,-8034000.0,-3141000.0
Interest Expense Non Operating,81730000.0,41092000.0,45016000.0,31689000.0
Interest Income Non Operating,77343000.0,79812000.0,37674000.0,66400000.0
Operating Income,376238000.0,254981000.0,86443000.0,152726000.0
Operating Expense,248919000.0,277831000.0,257256000.0,231503000.0
Other Operating Expenses,-30989000.0,13172000.0,4821000.0,3986000.0
Depreciation And Amortization In Income Statement,5439000.0,5230000.0,4519000.0,4468000.0
Depreciation Income Statement,5439000.0,5230000.0,4519000.0,4468000.0
Selling General And Administration,211467000.0,196238000.0,186226000.0,165722000.0
Selling And Marketing Expense,127383000.0,120117000.0,113873000.0,97068000.0
General And Administrative Expense,84084000.0,76121000.0,72353000.0,68654000.0
Gross Profit,625157000.0,532812000.0,343699000.0,384229000.0
Cost Of Revenue,873665000.0,1027729000.0,739473000.0,737031000.0
Total Revenue,1498822000.0,1560541000.0,1083172000.0,1121260000.0
Operating Revenue,1498822000.0,1560541000.0,1083172000.0,1121260000.0
