,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-1198840.0,-1528980.0,-873460.0,-557125.839062
Tax Rate For Calcs,0.34,0.34,0.34,0.243712
Normalized EBITDA,128419000.0,238256000.0,229464000.0,179133000.0
Total Unusual Items,-3526000.0,-4497000.0,-2569000.0,-2286000.0
Total Unusual Items Excluding Goodwill,-3526000.0,-4497000.0,-2569000.0,-2286000.0
Net Income From Continuing Operation Net Minority Interest,-161941000.0,146000.0,19679000.0,-18703000.0
Reconciled Depreciation,138303000.0,131277000.0,124941000.0,106318000.0
Reconciled Cost Of Revenue,1884101000.0,1738193000.0,1572115000.0,1543547000.0
EBITDA,124893000.0,233759000.0,226895000.0,176847000.0
EBIT,-13410000.0,102482000.0,101954000.0,70529000.0
Net Interest Income,-168007000.0,-131173000.0,-128318000.0,-115741000.0
Interest Expense,140398000.0,117714000.0,104861000.0,95259000.0
Interest Income,23655000.0,26371000.0,22424000.0,17750000.0
Normalized Income,-159613840.0,3114020.0,21374540.0,-16974125.839062
Net Income From Continuing And Discontinued Operation,-161941000.0,146000.0,19679000.0,-18703000.0
Total Expenses,2763365000.0,2541860000.0,2264447000.0,2218700000.0
Total Operating Income As Reported,13170000.0,105655000.0,103006000.0,87554000.0
Diluted Average Shares,206917263.0,195072711.0,187290269.0,191136474.0
Basic Average Shares,206917263.0,195072711.0,187290269.0,191136474.0
Diluted EPS,-0.782438,0.000513,0.10507,-0.097851
Basic EPS,-0.782438,0.000513,0.10507,-0.097851
Diluted NI Availto Com Stockholders,-161941000.0,146000.0,19679000.0,-18703000.0
Net Income Common Stockholders,-161941000.0,146000.0,19679000.0,-18703000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-161941000.0,146000.0,19679000.0,-18703000.0
Net Income Including Noncontrolling Interests,-161941000.0,146000.0,19679000.0,-18703000.0
Net Income Continuous Operations,-161941000.0,146000.0,19679000.0,-18703000.0
Tax Provision,8133000.0,-15378000.0,-22586000.0,-6027000.0
Pretax Income,-153808000.0,-15232000.0,-2907000.0,-24730000.0
Special Income Charges,-3526000.0,-4497000.0,-2569000.0,-2286000.0
Other Special Charges,359000.0,649000.0,-1007000.0,-495000.0
Restructuring And Mergern Acquisition,3167000.0,3848000.0,3576000.0,2781000.0
Net Non Operating Interest Income Expense,-168007000.0,-131173000.0,-128318000.0,-115741000.0
Total Other Finance Cost,51264000.0,39830000.0,45881000.0,38232000.0
Interest Expense Non Operating,140398000.0,117714000.0,104861000.0,95259000.0
Interest Income Non Operating,23655000.0,26371000.0,22424000.0,17750000.0
Operating Income,25047000.0,124470000.0,133680000.0,93968000.0
Operating Expense,879264000.0,803667000.0,692332000.0,675153000.0
Other Operating Expenses,-4243000.0,-48951000.0,-93884000.0,-17886000.0
Selling General And Administration,892953000.0,848998000.0,777318000.0,688217000.0
Selling And Marketing Expense,616620000.0,581238000.0,535301000.0,474736000.0
General And Administrative Expense,276333000.0,267760000.0,242017000.0,213481000.0
Gross Profit,904311000.0,928137000.0,826012000.0,769121000.0
Cost Of Revenue,1884101000.0,1738193000.0,1572115000.0,1543547000.0
Total Revenue,2788412000.0,2666330000.0,2398127000.0,2312668000.0
Operating Revenue,2788412000.0,2666330000.0,2398127000.0,2312668000.0
