,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-19402000.0,16660000.0,-7408239.700375,-6837000.0
Tax Rate For Calcs,0.178,0.34,0.086142,0.129
Normalized EBITDA,5688000000.0,4600000000.0,3816000000.0,3424000000.0
Total Unusual Items,-109000000.0,49000000.0,-86000000.0,-53000000.0
Total Unusual Items Excluding Goodwill,-109000000.0,49000000.0,-86000000.0,-53000000.0
Net Income From Continuing Operation Net Minority Interest,769000000.0,710000000.0,1220000000.0,1610000000.0
Reconciled Depreciation,1640000000.0,1476000000.0,990000000.0,687000000.0
Reconciled Cost Of Revenue,61598000000.0,55682000000.0,45557000000.0,34704000000.0
EBITDA,5579000000.0,4649000000.0,3730000000.0,3371000000.0
EBIT,3939000000.0,3173000000.0,2740000000.0,2684000000.0
Net Interest Income,-2821000000.0,-2731000000.0,-1515000000.0,-730000000.0
Interest Expense,3004000000.0,2619000000.0,1405000000.0,835000000.0
Interest Income,118000000.0,123000000.0,152000000.0,87000000.0
Normalized Income,858598000.0,677660000.0,1298591760.299625,1656163000.0
Net Income From Continuing And Discontinued Operation,769000000.0,710000000.0,1220000000.0,1610000000.0
Total Expenses,70018000000.0,63318000000.0,51642000000.0,39313000000.0
Total Operating Income As Reported,3844000000.0,3285000000.0,2850000000.0,2579000000.0
Diluted Average Shares,1355000000.0,1354000000.0,1353000000.0,1355000000.0
Basic Average Shares,1351000000.0,1350000000.0,1348000000.0,1344000000.0
Diluted EPS,0.567277,0.524174,0.901589,1.18852
Basic EPS,0.569164,0.525574,0.905322,1.19802
Diluted NI Availto Com Stockholders,769000000.0,710000000.0,1220000000.0,1610000000.0
Net Income Common Stockholders,769000000.0,710000000.0,1220000000.0,1610000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,
Net Income,769000000.0,710000000.0,1220000000.0,1610000000.0
Minority Interests,,,0.0,0.0
Net Income Including Noncontrolling Interests,769000000.0,710000000.0,1220000000.0,1610000000.0
Net Income Discontinuous Operations,,,0.0,0.0
Net Income Continuous Operations,769000000.0,710000000.0,1220000000.0,1610000000.0
Tax Provision,166000000.0,-156000000.0,115000000.0,239000000.0
Pretax Income,935000000.0,554000000.0,1335000000.0,1849000000.0
Other Income Expense,-45000000.0,100000000.0,-9000000.0,-6000000.0
Other Non Operating Income Expenses,,,14000000.0,
Special Income Charges,-21000000.0,49000000.0,-86000000.0,-53000000.0
Gain On Sale Of Ppe,-12000000.0,55000000.0,-34000000.0,12000000.0
Other Special Charges,11000000.0,-54000000.0,53000000.0,-9000000.0
Restructuring And Mergern Acquisition,10000000.0,5000000.0,33000000.0,74000000.0
Earnings From Equity Interest,64000000.0,51000000.0,44000000.0,47000000.0
Gain On Sale Of Security,-88000000.0,,,
Net Non Operating Interest Income Expense,-2821000000.0,-2731000000.0,-1515000000.0,-730000000.0
Total Other Finance Cost,-65000000.0,235000000.0,262000000.0,-18000000.0
Interest Expense Non Operating,3004000000.0,2619000000.0,1405000000.0,835000000.0
Interest Income Non Operating,118000000.0,123000000.0,152000000.0,87000000.0
Operating Income,3801000000.0,3185000000.0,2878000000.0,2585000000.0
Operating Expense,8420000000.0,7636000000.0,6085000000.0,4560000000.0
Other Operating Expenses,,,19000000.0,-9000000.0
Depreciation Amortization Depletion Income Statement,1547000000.0,1394000000.0,919000000.0,638000000.0
Depreciation And Amortization In Income Statement,1547000000.0,1394000000.0,919000000.0,638000000.0
Depreciation Income Statement,1547000000.0,1394000000.0,919000000.0,
Selling General And Administration,6873000000.0,6242000000.0,5166000000.0,3922000000.0
Selling And Marketing Expense,5995000000.0,5411000000.0,4379000000.0,3334000000.0
General And Administrative Expense,878000000.0,831000000.0,787000000.0,588000000.0
Other Gand A,878000000.0,831000000.0,787000000.0,588000000.0
Gross Profit,12221000000.0,10821000000.0,8963000000.0,7145000000.0
Cost Of Revenue,61598000000.0,55682000000.0,45557000000.0,34753000000.0
Total Revenue,73819000000.0,66503000000.0,54520000000.0,41898000000.0
Excise Taxes,6569000000.0,6135000000.0,5055000000.0,3687000000.0
Operating Revenue,73819000000.0,66503000000.0,54520000000.0,45661000000.0
