,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,104995703.0,104995703.0,104995703.0
Share Issued,104995703.0,104995703.0,104995703.0
Net Debt,13504783000.0,9322531000.0,6001215000.0
Total Debt,13675143000.0,9927207000.0,6318102000.0
Tangible Book Value,771015000.0,789068000.0,802330000.0
Invested Capital,14425873000.0,10702356000.0,7109220000.0
Working Capital,-9553769000.0,-7340292000.0,-6068225000.0
Net Tangible Assets,771015000.0,789068000.0,802330000.0
Capital Lease Obligations,32568000.0,29441000.0,29699000.0
Common Stock Equity,783298000.0,804590000.0,820817000.0
Total Capitalization,3014363000.0,2646148000.0,1428500000.0
Total Equity Gross Minority Interest,783298000.0,804590000.0,820817000.0
Stockholders Equity,783298000.0,804590000.0,820817000.0
Gains Losses Not Affecting Retained Earnings,108358000.0,129650000.0,145877000.0
Other Equity Adjustments,108358000.0,129650000.0,145877000.0
Capital Stock,674940000.0,674940000.0,674940000.0
Common Stock,674940000.0,674940000.0,674940000.0
Total Liabilities Net Minority Interest,16699285000.0,14251897000.0,9924890000.0
Total Non Current Liabilities Net Minority Interest,3359189000.0,3520584000.0,2127642000.0
Other Non Current Liabilities,639882000.0,1139273000.0,943937000.0
Derivative Product Liabilities,274964000.0,317315000.0,425537000.0
Dueto Related Parties Non Current,0.0,,
Tradeand Other Payables Non Current,0.0,,
Non Current Deferred Liabilities,176096000.0,148099000.0,70228000.0
Non Current Deferred Taxes Liabilities,176096000.0,148099000.0,70228000.0
Long Term Debt And Capital Lease Obligation,2263633000.0,1870999000.0,637382000.0
Long Term Capital Lease Obligation,32568000.0,29441000.0,29699000.0
Long Term Debt,2231065000.0,1841558000.0,607683000.0
Long Term Provisions,4614000.0,44898000.0,50558000.0
Current Liabilities,13340096000.0,10731313000.0,7797248000.0
Other Current Liabilities,1882454000.0,2627471000.0,2057405000.0
Current Debt And Capital Lease Obligation,11411510000.0,8056208000.0,5680720000.0
Current Debt,11411510000.0,8056208000.0,5680720000.0
Other Current Borrowings,1472593000.0,8056208000.0,5680720000.0
Current Notes Payable,9938917000.0,8056208000.0,
Payables And Accrued Expenses,46132000.0,47634000.0,59123000.0
Payables,46132000.0,47634000.0,59123000.0
Other Payable,5124000.0,2157000.0,3064000.0
Dividends Payable,385000.0,735000.0,735000.0
Total Tax Payable,29380000.0,28720000.0,50597000.0
Accounts Payable,11243000.0,16022000.0,4727000.0
Total Assets,17482583000.0,15056487000.0,10745707000.0
Total Non Current Assets,13696256000.0,11665466000.0,9016684000.0
Other Non Current Assets,26874000.0,27260000.0,27302000.0
Non Current Deferred Assets,92425000.0,95639000.0,25229000.0
Non Current Deferred Taxes Assets,92425000.0,95639000.0,25229000.0
Financial Assets,1023349000.0,1071190000.0,236186000.0
Investments And Advances,12497060000.0,10413526000.0,8665417000.0
Investmentin Financial Assets,12497060000.0,10413526000.0,8665417000.0
Available For Sale Securities,784410000.0,1140309000.0,947171000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,11712650000.0,9273217000.0,7718246000.0
Long Term Equity Investment,0.0,,
Goodwill And Other Intangible Assets,12283000.0,15522000.0,18487000.0
Net PPE,44265000.0,42329000.0,44063000.0
Current Assets,3786327000.0,3391021000.0,1729023000.0
Hedging Assets Current,195206000.0,,
Restricted Cash,24290000.0,5785000.0,966000.0
Prepaid Assets,5262000.0,5785000.0,966000.0
Receivables,315490000.0,430344000.0,250419000.0
Other Receivables,130532000.0,83821000.0,50733000.0
Loans Receivable,184958000.0,346523000.0,199686000.0
Cash Cash Equivalents And Short Term Investments,3446547000.0,2954892000.0,1477638000.0
Other Short Term Investments,3308755000.0,2379657000.0,1190450000.0
Cash And Cash Equivalents,137792000.0,575235000.0,287188000.0
Cash Equivalents,130043000.0,546857000.0,173662000.0
Cash Financial,7749000.0,28378000.0,113526000.0
