,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-103525502.4,1428350.0,-41714056.0,27929980.0
Tax Rate For Calcs,0.2594,0.35,0.328,0.34
Normalized EBITDA,244074000.0,197697000.0,141614000.0,87504000.0
Total Unusual Items,-399096000.0,4081000.0,-127177000.0,82147000.0
Total Unusual Items Excluding Goodwill,-399096000.0,4081000.0,-127177000.0,82147000.0
Net Income From Continuing Operation Net Minority Interest,-225450000.0,42194000.0,-73735000.0,28273000.0
Reconciled Depreciation,142027000.0,130413000.0,118147000.0,102950000.0
Reconciled Cost Of Revenue,769434000.0,715020000.0,694846000.0,624201000.0
EBITDA,-155022000.0,201778000.0,14437000.0,169651000.0
EBIT,-297049000.0,71365000.0,-103710000.0,66701000.0
Net Interest Income,-60036000.0,-60632000.0,-76886000.0,-70295000.0
Interest Expense,7375000.0,6449000.0,5943000.0,6630000.0
Interest Income,2751000.0,1985000.0,1771000.0,1331000.0
Normalized Income,70120497.6,39541350.0,11727944.0,-25944020.0
Net Income From Continuing And Discontinued Operation,-225450000.0,42194000.0,-73735000.0,28273000.0
Total Expenses,1333257000.0,1247895000.0,1197675000.0,1086590000.0
Diluted Average Shares,550431817.0,578380000.0,589501000.0,597348000.0
Basic Average Shares,550431817.0,575292000.0,589501000.0,588400000.0
Diluted EPS,-0.409678,0.073,-0.13,0.05
Basic EPS,-0.409678,0.0733,-0.13,0.05
Diluted NI Availto Com Stockholders,-225450000.0,42194000.0,-73735000.0,28273000.0
Net Income Common Stockholders,-225450000.0,42194000.0,-73735000.0,28273000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-225450000.0,42194000.0,-73735000.0,28273000.0
Net Income Including Noncontrolling Interests,-225450000.0,42194000.0,-73735000.0,28273000.0
Net Income Continuous Operations,-225450000.0,42194000.0,-73735000.0,28273000.0
Tax Provision,-78974000.0,22722000.0,-35918000.0,31798000.0
Pretax Income,-304424000.0,64916000.0,-109653000.0,60071000.0
Special Income Charges,-451628000.0,-77372000.0,-281600000.0,-101372000.0
Other Special Charges,-493000.0,-289000.0,-199000.0,-222000.0
Write Off,432476000.0,8619000.0,8817000.0,3704000.0
Restructuring And Mergern Acquisition,19645000.0,69042000.0,272982000.0,97890000.0
Net Non Operating Interest Income Expense,-60036000.0,-60632000.0,-76886000.0,-70295000.0
Total Other Finance Cost,55412000.0,56168000.0,72714000.0,64996000.0
Interest Expense Non Operating,7375000.0,6449000.0,5943000.0,6630000.0
Interest Income Non Operating,2751000.0,1985000.0,1771000.0,1331000.0
Operating Income,155274000.0,122137000.0,95081000.0,48801000.0
Operating Expense,563823000.0,532875000.0,502829000.0,462389000.0
Other Operating Expenses,2406000.0,,,
Selling General And Administration,561935000.0,541296000.0,516259000.0,464164000.0
Selling And Marketing Expense,285551000.0,283852000.0,263661000.0,248230000.0
General And Administrative Expense,276384000.0,257444000.0,252598000.0,215934000.0
Gross Profit,719097000.0,655012000.0,597910000.0,511190000.0
Cost Of Revenue,769434000.0,715020000.0,694846000.0,624201000.0
Total Revenue,1488531000.0,1370032000.0,1292756000.0,1135391000.0
Operating Revenue,1488531000.0,1370032000.0,1292756000.0,1135391000.0
