,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,12173771.7,6116759.3,0.0,9498895.568841
Tax Rate For Calcs,0.1297,0.1151,0.102404,0.151194
Normalized EBITDA,498698000.0,404797000.0,283986000.0,92310000.0
Total Unusual Items,93861000.0,53143000.0,47245000.0,62826000.0
Total Unusual Items Excluding Goodwill,93861000.0,53143000.0,47245000.0,62826000.0
Net Income From Continuing Operation Net Minority Interest,414072000.0,342514000.0,231449000.0,114889000.0
Reconciled Depreciation,10863000.0,1195000.0,917000.0,875000.0
Reconciled Cost Of Revenue,1146089000.0,1026210000.0,603977000.0,368988000.0
EBITDA,592559000.0,457940000.0,283986000.0,155136000.0
EBIT,581696000.0,456745000.0,283069000.0,154261000.0
Net Interest Income,-53454000.0,-18432000.0,54627000.0,4153000.0
Interest Expense,63005000.0,21915000.0,8314000.0,35000.0
Interest Income,23289000.0,6824000.0,62941000.0,5755000.0
Normalized Income,332384771.7,295487759.3,231449000.0,61561895.568841
Net Income From Continuing And Discontinued Operation,414072000.0,342514000.0,231449000.0,114889000.0
Total Expenses,1381730000.0,1217837000.0,718910000.0,467376000.0
Diluted Average Shares,195316981.0,195434000.0,195431056.0,198644000.0
Basic Average Shares,195316981.0,195434000.0,195431056.0,198644000.0
Diluted EPS,2.12,1.7526,1.1843,0.5784
Basic EPS,2.12,1.7526,1.1843,0.5784
Diluted NI Availto Com Stockholders,414072000.0,342514000.0,231449000.0,114889000.0
Net Income Common Stockholders,414072000.0,342514000.0,231449000.0,114889000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,414072000.0,342514000.0,231449000.0,114889000.0
Minority Interests,-50092000.0,-49942000.0,-15170000.0,-16019000.0
Net Income Including Noncontrolling Interests,464164000.0,392456000.0,246619000.0,130908000.0
Net Income Continuous Operations,464164000.0,392456000.0,246619000.0,130908000.0
Tax Provision,54527000.0,42374000.0,28136000.0,23318000.0
Pretax Income,518691000.0,434830000.0,274755000.0,154226000.0
Special Income Charges,-10327000.0,-4222000.0,-2574000.0,1043000.0
Other Special Charges,10327000.0,4222000.0,2574000.0,-1043000.0
Net Non Operating Interest Income Expense,-53454000.0,-18432000.0,54627000.0,4153000.0
Total Other Finance Cost,13738000.0,3341000.0,1529000.0,1567000.0
Interest Expense Non Operating,63005000.0,21915000.0,8314000.0,35000.0
Interest Income Non Operating,23289000.0,6824000.0,62941000.0,5755000.0
Operating Income,379668000.0,331462000.0,184423000.0,87951000.0
Operating Expense,235641000.0,191627000.0,114933000.0,98388000.0
Other Operating Expenses,19519000.0,9365000.0,3881000.0,5902000.0
Depreciation And Amortization In Income Statement,820000.0,1195000.0,917000.0,875000.0
Depreciation Income Statement,820000.0,1195000.0,917000.0,875000.0
Selling General And Administration,176559000.0,146754000.0,111052000.0,75943000.0
Selling And Marketing Expense,138220000.0,115190000.0,66143000.0,63952000.0
General And Administrative Expense,38339000.0,31564000.0,44909000.0,11991000.0
Gross Profit,615309000.0,523089000.0,299356000.0,186339000.0
Cost Of Revenue,1146089000.0,1026210000.0,603977000.0,368988000.0
Total Revenue,1761398000.0,1549299000.0,903333000.0,555327000.0
Operating Revenue,1761398000.0,1549299000.0,903333000.0,555327000.0
