,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,15348960.0,5625180.0,1489880.0,1048493.181278
Tax Rate For Calcs,0.34,0.27,0.34,0.228629
Normalized EBITDA,156977000.0,116465000.0,113900000.0,119785000.0
Total Unusual Items,45144000.0,20834000.0,4382000.0,4586000.0
Total Unusual Items Excluding Goodwill,45144000.0,20834000.0,4382000.0,4586000.0
Net Income From Continuing Operation Net Minority Interest,-11811000.0,10150000.0,13701000.0,20235000.0
Reconciled Depreciation,88987000.0,48736000.0,39061000.0,26298000.0
Reconciled Cost Of Revenue,1253275000.0,854084000.0,830840000.0,614912000.0
EBITDA,202121000.0,137299000.0,118282000.0,124371000.0
EBIT,113134000.0,88563000.0,79221000.0,98073000.0
Net Interest Income,-133579000.0,-70339000.0,-50790000.0,-25990000.0
Interest Expense,105453000.0,50685000.0,36810000.0,13893000.0
Interest Income,0.0,0.0,0.0,1122000.0
Normalized Income,-41606040.0,-5058820.0,10808880.0,16697493.181278
Net Income From Continuing And Discontinued Operation,-11811000.0,10150000.0,13701000.0,20235000.0
Total Expenses,1476556000.0,1015379000.0,958295000.0,707980000.0
Rent Expense Supplemental,125008000.0,94097000.0,70907000.0,54352000.0
Diluted Average Shares,50054000.0,45091542.0,37291475.0,37750473.0
Basic Average Shares,50054000.0,45091542.0,37291475.0,37750473.0
Diluted EPS,-0.23597,0.216511,0.673076,0.536023
Basic EPS,-0.23597,0.216511,0.673076,0.536023
Diluted NI Availto Com Stockholders,-11811000.0,10150000.0,13701000.0,20235000.0
Net Income Common Stockholders,-11811000.0,10150000.0,13701000.0,20235000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-11811000.0,10150000.0,13701000.0,20235000.0
Minority Interests,-20215000.0,-17667000.0,-11379000.0,-44699000.0
Net Income Including Noncontrolling Interests,8404000.0,27817000.0,25080000.0,64934000.0
Net Income Continuous Operations,8404000.0,27817000.0,25080000.0,64934000.0
Tax Provision,-723000.0,10061000.0,17331000.0,19246000.0
Pretax Income,7681000.0,37878000.0,42411000.0,84180000.0
Special Income Charges,-1349000.0,1278000.0,-3124000.0,-2744000.0
Other Special Charges,117000.0,-1519000.0,3071000.0,2687000.0
Write Off,1232000.0,241000.0,53000.0,57000.0
Net Non Operating Interest Income Expense,-133579000.0,-70339000.0,-50790000.0,-25990000.0
Total Other Finance Cost,28126000.0,19654000.0,13980000.0,13219000.0
Interest Expense Non Operating,105453000.0,50685000.0,36810000.0,13893000.0
Interest Income Non Operating,0.0,0.0,0.0,1122000.0
Operating Income,87067000.0,85204000.0,88116000.0,105514000.0
Operating Expense,223281000.0,161295000.0,127455000.0,93068000.0
Other Operating Expenses,4295000.0,851000.0,-774000.0,1474000.0
Depreciation And Amortization In Income Statement,41667000.0,17283000.0,13468000.0,5087000.0
Amortization,23215000.0,0.0,,
Depreciation Income Statement,18452000.0,17283000.0,13468000.0,5087000.0
Selling General And Administration,49788000.0,41147000.0,38800000.0,25581000.0
Selling And Marketing Expense,117000.0,163000.0,242000.0,378000.0
General And Administrative Expense,49671000.0,40984000.0,38558000.0,25203000.0
Rent And Landing Fees,6979000.0,6247000.0,4717000.0,3111000.0
Gross Profit,310348000.0,246499000.0,215571000.0,198582000.0
Cost Of Revenue,1253275000.0,854084000.0,830840000.0,614912000.0
Total Revenue,1563623000.0,1100583000.0,1046411000.0,813494000.0
Operating Revenue,1563623000.0,1100583000.0,1046411000.0,813494000.0
