,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,11676351.2,6091168.0,5126343.9,0.0
Tax Rate For Calcs,0.1102,0.1088,0.1203,0.139663
Normalized EBITDA,1317991000.0,860818000.0,615230000.0,517068000.0
Total Unusual Items,105956000.0,55985000.0,42613000.0,26675000.0
Total Unusual Items Excluding Goodwill,105956000.0,55985000.0,42613000.0,26675000.0
Net Income From Continuing Operation Net Minority Interest,975536000.0,649843000.0,481765000.0,329885000.0
Reconciled Depreciation,34878000.0,31129000.0,25872000.0,23596000.0
Reconciled Cost Of Revenue,3252837000.0,2413370000.0,1790819000.0,1420402000.0
EBITDA,1423947000.0,916803000.0,657843000.0,517068000.0
EBIT,1389069000.0,885674000.0,631971000.0,493472000.0
Net Interest Income,-198285000.0,-114377000.0,-80049000.0,-24437000.0
Interest Expense,168823000.0,97078000.0,63942000.0,88468000.0
Interest Income,15870000.0,20060000.0,18907000.0,64031000.0
Normalized Income,881256351.2,599949168.0,444278343.9,329885000.0
Net Income From Continuing And Discontinued Operation,975536000.0,649843000.0,481765000.0,329885000.0
Total Expenses,4094239000.0,3087861000.0,2282354000.0,1828232000.0
Diluted Average Shares,292890997.0,289884288.0,301279486.0,292878418.0
Basic Average Shares,292890997.0,289884288.0,301279486.0,292878418.0
Diluted EPS,3.3307,2.2417,1.644984,1.126355
Basic EPS,3.3307,2.2417,1.644984,1.126355
Diluted NI Availto Com Stockholders,975536000.0,649843000.0,481765000.0,329885000.0
Net Income Common Stockholders,975536000.0,649843000.0,481765000.0,329885000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,975536000.0,649843000.0,481765000.0,329885000.0
Minority Interests,-105684000.0,-48969000.0,-13846000.0,-18555000.0
Net Income Including Noncontrolling Interests,1081220000.0,698812000.0,495611000.0,348440000.0
Net Income Continuous Operations,1081220000.0,698812000.0,495611000.0,348440000.0
Tax Provision,139026000.0,89784000.0,72418000.0,56564000.0
Pretax Income,1220246000.0,788596000.0,568029000.0,405004000.0
Special Income Charges,-44515000.0,-27308000.0,-23525000.0,-26569000.0
Other Special Charges,44515000.0,27308000.0,23525000.0,26569000.0
Net Non Operating Interest Income Expense,-198285000.0,-114377000.0,-80049000.0,-24437000.0
Total Other Finance Cost,45332000.0,37359000.0,35014000.0,37113000.0
Interest Expense Non Operating,168823000.0,97078000.0,63942000.0,88468000.0
Interest Income Non Operating,15870000.0,20060000.0,18907000.0,64031000.0
Operating Income,1305185000.0,838449000.0,603818000.0,429062000.0
Operating Expense,841402000.0,674491000.0,491535000.0,407830000.0
Other Operating Expenses,107172000.0,58190000.0,40522000.0,61830000.0
Selling General And Administration,734230000.0,616301000.0,451013000.0,348756000.0
Selling And Marketing Expense,494891000.0,391872000.0,285230000.0,212188000.0
General And Administrative Expense,239339000.0,224429000.0,165783000.0,136568000.0
Gross Profit,2146587000.0,1512940000.0,1095353000.0,836892000.0
Cost Of Revenue,3252837000.0,2413370000.0,1790819000.0,1420402000.0
Total Revenue,5399424000.0,3926310000.0,2886172000.0,2257294000.0
Operating Revenue,5399424000.0,3926310000.0,2886172000.0,2257294000.0
