,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,122255603.8,-51445955.6,16153060.0,-210800.0
Tax Rate For Calcs,0.2194,0.2444,0.34,0.34
Normalized EBITDA,862238000.0,1534339000.0,609081000.0,894969000.0
Total Unusual Items,557227000.0,-210499000.0,47509000.0,-620000.0
Total Unusual Items Excluding Goodwill,557227000.0,-210499000.0,47509000.0,-620000.0
Net Income From Continuing Operation Net Minority Interest,815667000.0,758623000.0,575287000.0,571437000.0
Reconciled Depreciation,119388000.0,95363000.0,57597000.0,37746000.0
Reconciled Cost Of Revenue,13939323000.0,10294268000.0,7752979000.0,5842540000.0
EBITDA,1419465000.0,1323840000.0,656590000.0,894349000.0
EBIT,1300077000.0,1228477000.0,598993000.0,856603000.0
Net Interest Income,-50047000.0,-79057000.0,-45545000.0,2670000.0
Interest Expense,264053000.0,227451000.0,170273000.0,316282000.0
Interest Income,221777000.0,173421000.0,130753000.0,318952000.0
Normalized Income,380695603.8,917676044.4,543931060.0,571846200.0
Net Income From Continuing And Discontinued Operation,815667000.0,758623000.0,575287000.0,571437000.0
Total Expenses,15874261000.0,11563949000.0,8556222000.0,6347568000.0
Diluted Average Shares,500991921.0,498187647.0,501861000.0,501819571.0
Basic Average Shares,498807670.0,498187647.0,498024000.0,496064899.0
Diluted EPS,1.6142,1.518233,1.14335,1.13873
Basic EPS,1.62126,1.518233,1.155139,1.15194
Diluted NI Availto Com Stockholders,815667000.0,758623000.0,575287000.0,571437000.0
Net Income Common Stockholders,815667000.0,758623000.0,575287000.0,571437000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,815667000.0,758623000.0,575287000.0,571437000.0
Minority Interests,6968000.0,2258000.0,1485000.0,263000.0
Net Income Including Noncontrolling Interests,808699000.0,756365000.0,573802000.0,571174000.0
Net Income Continuous Operations,808699000.0,756365000.0,573802000.0,571174000.0
Tax Provision,227325000.0,244661000.0,-145082000.0,-30853000.0
Pretax Income,1036024000.0,1001026000.0,428720000.0,540321000.0
Special Income Charges,-16777000.0,-14702000.0,-8939000.0,-620000.0
Other Special Charges,-14653000.0,-8731000.0,,
Write Off,31430000.0,23433000.0,8939000.0,620000.0
Net Non Operating Interest Income Expense,-50047000.0,-79057000.0,-45545000.0,2670000.0
Total Other Finance Cost,7771000.0,25027000.0,6025000.0,-810000.0
Interest Expense Non Operating,264053000.0,227451000.0,170273000.0,316282000.0
Interest Income Non Operating,221777000.0,173421000.0,130753000.0,318952000.0
Operating Income,549433000.0,1261822000.0,442763000.0,538271000.0
Operating Expense,1934938000.0,1269681000.0,803243000.0,505028000.0
Other Operating Expenses,16049000.0,10642000.0,7866000.0,-19343000.0
Selling General And Administration,1922483000.0,1290086000.0,836564000.0,530468000.0
Selling And Marketing Expense,1785330000.0,1183262000.0,764746000.0,462094000.0
General And Administrative Expense,137153000.0,106824000.0,71818000.0,68374000.0
Gross Profit,2484371000.0,2531503000.0,1246006000.0,1043299000.0
Cost Of Revenue,13939323000.0,10294268000.0,7752979000.0,5842540000.0
Total Revenue,16423694000.0,12825771000.0,8998985000.0,6885839000.0
Operating Revenue,16423694000.0,12825771000.0,8998985000.0,6885839000.0
