,2026-03-31,2025-03-31
Tax Effect Of Unusual Items,-4818900.0,0.0
Tax Rate For Calcs,0.3,0.28
Normalized EBITDA,223509000.0,123368000.0
Total Unusual Items,-16063000.0,0.0
Total Unusual Items Excluding Goodwill,-16063000.0,0.0
Net Income From Continuing Operation Net Minority Interest,39398000.0,15380000.0
Reconciled Depreciation,83693000.0,74712000.0
Reconciled Cost Of Revenue,899287000.0,392120000.0
EBITDA,207446000.0,123368000.0
EBIT,123753000.0,48656000.0
Net Interest Income,-50847000.0,-18703000.0
Interest Expense,61298000.0,27304000.0
Interest Income,20723000.0,6930000.0
Normalized Income,50642100.0,15380000.0
Net Income From Continuing And Discontinued Operation,39398000.0,15380000.0
Total Expenses,1574215000.0,665412000.0
Total Operating Income As Reported,117877000.0,40075000.0
Diluted Average Shares,857680426.0,860793811.0
Basic Average Shares,857680426.0,860793811.0
Diluted EPS,0.048586,0.017867
Basic EPS,0.048586,0.017867
Diluted NI Availto Com Stockholders,39398000.0,15380000.0
Net Income Common Stockholders,39398000.0,15380000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,39398000.0,15380000.0
Net Income Including Noncontrolling Interests,39398000.0,15380000.0
Net Income Continuous Operations,39398000.0,15380000.0
Tax Provision,23057000.0,5972000.0
Pretax Income,62455000.0,21352000.0
Net Non Operating Interest Income Expense,-50847000.0,-18703000.0
Total Other Finance Cost,10272000.0,-1671000.0
Interest Expense Non Operating,61298000.0,27304000.0
Interest Income Non Operating,20723000.0,6930000.0
Operating Income,117940000.0,40075000.0
Operating Expense,674928000.0,273292000.0
Other Operating Expenses,3079000.0,-3211000.0
Selling General And Administration,671849000.0,276503000.0
Selling And Marketing Expense,517062000.0,209633000.0
General And Administrative Expense,154787000.0,66870000.0
Gross Profit,792868000.0,313367000.0
Cost Of Revenue,899287000.0,392120000.0
Total Revenue,1692092000.0,705487000.0
Operating Revenue,1692092000.0,705487000.0
