,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,45917680.0,51094180.0,1196208.0,17422620.0
Tax Rate For Calcs,0.34,0.34,0.0216,0.34
Normalized EBITDA,1435961000.0,1253042000.0,1036775000.0,837075000.0
Total Unusual Items,135052000.0,150277000.0,55380000.0,51243000.0
Total Unusual Items Excluding Goodwill,135052000.0,150277000.0,55380000.0,51243000.0
Net Income From Continuing Operation Net Minority Interest,123755000.0,85146000.0,-329630000.0,-102250000.0
Reconciled Depreciation,427468000.0,481035000.0,534431000.0,561760000.0
Reconciled Cost Of Revenue,1490204000.0,1449986000.0,1518816000.0,1508841000.0
EBITDA,1571013000.0,1403319000.0,1092155000.0,888318000.0
EBIT,1143545000.0,922284000.0,557724000.0,326558000.0
Net Interest Income,-903104000.0,-742704000.0,-812767000.0,-861176000.0
Interest Expense,890686000.0,736216000.0,775599000.0,742509000.0
Interest Income,41164000.0,38882000.0,23553000.0,18509000.0
Normalized Income,34620680.0,-14036820.0,-383813792.0,-136070380.0
Net Income From Continuing And Discontinued Operation,123755000.0,85146000.0,-329630000.0,-102250000.0
Total Expenses,3012801000.0,2969510000.0,3201146000.0,3170788000.0
Total Operating Income As Reported,1002017000.0,820099000.0,524902000.0,378101000.0
Diluted Average Shares,377860000.0,377513000.0,377444000.0,380462000.0
Basic Average Shares,377860000.0,377513000.0,377444000.0,380221000.0
Diluted EPS,0.33,0.23,-0.87,-0.27
Basic EPS,0.33,0.23,-0.87,-0.27
Diluted NI Availto Com Stockholders,123755000.0,85146000.0,-329630000.0,-102250000.0
Net Income Common Stockholders,123755000.0,85146000.0,-329630000.0,-102250000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,123755000.0,85146000.0,-329630000.0,-102250000.0
Minority Interests,-132910000.0,-119298000.0,-116458000.0,-113704000.0
Net Income Including Noncontrolling Interests,256665000.0,204444000.0,-213172000.0,11454000.0
Net Income Continuous Operations,256665000.0,204444000.0,-213172000.0,11454000.0
Tax Provision,-3806000.0,-18376000.0,-4703000.0,-427405000.0
Pretax Income,252859000.0,186068000.0,-217875000.0,-415951000.0
Special Income Charges,-8303000.0,-5513000.0,-12456000.0,-23192000.0
Other Special Charges,8303000.0,5513000.0,12456000.0,23192000.0
Net Non Operating Interest Income Expense,-903104000.0,-742704000.0,-812767000.0,-861176000.0
Total Other Finance Cost,53582000.0,45370000.0,60721000.0,137176000.0
Interest Expense Non Operating,890686000.0,736216000.0,775599000.0,742509000.0
Interest Income Non Operating,41164000.0,38882000.0,23553000.0,18509000.0
Operating Income,1010896000.0,831869000.0,531794000.0,392443000.0
Operating Expense,1522597000.0,1519524000.0,1682330000.0,1661947000.0
Other Operating Expenses,188906000.0,185552000.0,270134000.0,226312000.0
Selling General And Administration,1333691000.0,1333972000.0,1412196000.0,1435635000.0
Selling And Marketing Expense,291874000.0,290672000.0,271792000.0,233121000.0
General And Administrative Expense,1041817000.0,1043300000.0,1140404000.0,1202514000.0
Gross Profit,2533493000.0,2351393000.0,2214124000.0,2054390000.0
Cost Of Revenue,1490204000.0,1449986000.0,1518816000.0,1508841000.0
Total Revenue,4023697000.0,3801379000.0,3732940000.0,3563231000.0
Operating Revenue,4023697000.0,3801379000.0,3732940000.0,3563231000.0
