,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-49171507.2,-8342537.5,-193215382.5,-56645108.8
Tax Rate For Calcs,0.3264,0.2125,0.2575,0.2588
Normalized EBITDA,5206726000.0,8154906000.0,7466795000.0,5638425000.0
Total Unusual Items,-150648000.0,-39259000.0,-750351000.0,-218876000.0
Total Unusual Items Excluding Goodwill,-150648000.0,-39259000.0,-750351000.0,-218876000.0
Net Income From Continuing Operation Net Minority Interest,1649647000.0,4527719000.0,3568737000.0,2950298000.0
Reconciled Depreciation,1275994000.0,1150476000.0,1042129000.0,1000269000.0
Reconciled Cost Of Revenue,9850577000.0,8025027000.0,9839057000.0,7083267000.0
EBITDA,5056078000.0,8115647000.0,6716444000.0,5419549000.0
EBIT,3780084000.0,6965171000.0,5674315000.0,4419280000.0
Net Interest Income,-1500486000.0,-1532743000.0,-1058499000.0,-587676000.0
Interest Expense,1331743000.0,1216045000.0,867757000.0,438878000.0
Interest Income,125734000.0,57326000.0,45661000.0,57747000.0
Normalized Income,1751123492.8,4558635462.5,4125872617.5,3112528891.2
Net Income From Continuing And Discontinued Operation,1649647000.0,4527719000.0,3568737000.0,2950298000.0
Total Expenses,13116117000.0,12059276000.0,12311548000.0,8573445000.0
Total Operating Income As Reported,5011143000.0,4967308000.0,,
Diluted Average Shares,5432044538.0,5470598000.0,5485339000.0,5485506000.0
Basic Average Shares,5432044538.0,5470598000.0,5485339000.0,5485506000.0
Diluted EPS,0.303598,0.82765,0.6506,0.537835
Basic EPS,0.303598,0.82765,0.6506,0.537835
Diluted NI Availto Com Stockholders,1649647000.0,4527719000.0,3568737000.0,2950298000.0
Net Income Common Stockholders,1649647000.0,4527719000.0,3568737000.0,2950298000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1649647000.0,4527719000.0,3568737000.0,2950298000.0
Minority Interests,488000.0,,,
Net Income Including Noncontrolling Interests,1649159000.0,4527719000.0,3568737000.0,2950298000.0
Net Income Continuous Operations,1649159000.0,4527719000.0,3568737000.0,2950298000.0
Tax Provision,799182000.0,1221407000.0,1237821000.0,1030104000.0
Pretax Income,2448341000.0,5749126000.0,4806558000.0,3980402000.0
Other Non Operating Income Expenses,,,113015000.0,
Special Income Charges,-94276000.0,-70917000.0,7529000.0,22445000.0
Other Special Charges,56665000.0,60295000.0,,
Impairment Of Capital Assets,37611000.0,10622000.0,-7529000.0,-22445000.0
Net Non Operating Interest Income Expense,-1500486000.0,-1532743000.0,-1058499000.0,-587676000.0
Total Other Finance Cost,294477000.0,374024000.0,236403000.0,206545000.0
Interest Expense Non Operating,1331743000.0,1216045000.0,867757000.0,438878000.0
Interest Income Non Operating,125734000.0,57326000.0,45661000.0,57747000.0
Operating Income,4909004000.0,4437041000.0,6568878000.0,4699119000.0
Operating Expense,3265540000.0,4034249000.0,2472491000.0,1490178000.0
Other Operating Expenses,248823000.0,326451000.0,257647000.0,322253000.0
Depreciation And Amortization In Income Statement,5977000.0,5711000.0,7925000.0,9056000.0
Depreciation Income Statement,5977000.0,5711000.0,7925000.0,9056000.0
Research And Development,27700000.0,12525000.0,11155000.0,17112000.0
Selling General And Administration,2996285000.0,3719790000.0,2211459000.0,1146288000.0
Selling And Marketing Expense,2812475000.0,3537738000.0,2050270000.0,1028842000.0
General And Administrative Expense,183810000.0,182052000.0,161189000.0,117446000.0
Gross Profit,8174544000.0,8471290000.0,9041369000.0,6189297000.0
Cost Of Revenue,9850577000.0,8025027000.0,9839057000.0,7083267000.0
Total Revenue,18025121000.0,16496317000.0,18880426000.0,13272564000.0
Operating Revenue,18025121000.0,16496317000.0,18880426000.0,13272564000.0
