,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,-48395940.0,-83551260.0,-89603940.0
Tax Rate For Calcs,0.34,0.34,0.34
Normalized EBITDA,1027177000.0,912514000.0,949826000.0
Total Unusual Items,-142341000.0,-245739000.0,-263541000.0
Total Unusual Items Excluding Goodwill,-142341000.0,-245739000.0,-263541000.0
Net Income From Continuing Operation Net Minority Interest,369891000.0,288752000.0,122671000.0
Reconciled Depreciation,224600000.0,216203000.0,212636000.0
Reconciled Cost Of Revenue,776278000.0,746646000.0,669479000.0
EBITDA,884836000.0,666775000.0,686285000.0
EBIT,660236000.0,450572000.0,473649000.0
Net Interest Income,-410813000.0,-483203000.0,-305099000.0
Interest Expense,398394000.0,446496000.0,363781000.0
Interest Income,15544000.0,14696000.0,58682000.0
Normalized Income,463836060.0,450939740.0,296608060.0
Net Income From Continuing And Discontinued Operation,369891000.0,288752000.0,122671000.0
Total Expenses,1443873000.0,1406992000.0,1275562000.0
Total Operating Income As Reported,,447730000.0,414967000.0
Diluted Average Shares,133652528.0,133652528.0,134172428.0
Basic Average Shares,133652528.0,133652528.0,134172428.0
Diluted EPS,2.767624,2.160827,0.914279
Basic EPS,2.767624,2.160827,0.914279
Diluted NI Availto Com Stockholders,369891000.0,288752000.0,122671000.0
Net Income Common Stockholders,369891000.0,288752000.0,122671000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,369891000.0,288752000.0,122671000.0
Net Income Including Noncontrolling Interests,369891000.0,288752000.0,122671000.0
Net Income Continuous Operations,369891000.0,288752000.0,122671000.0
Tax Provision,-108049000.0,-284676000.0,-12803000.0
Pretax Income,261842000.0,4076000.0,109868000.0
Other Non Operating Income Expenses,,386000.0,-8455000.0
Special Income Charges,-227252000.0,-287473000.0,-263541000.0
Other Special Charges,-623000.0,-1075000.0,1000.0
Write Off,225415000.0,232106000.0,263541000.0
Impairment Of Capital Assets,-540000.0,56442000.0,9437000.0
Restructuring And Mergern Acquisition,3000000.0,0.0,
Net Non Operating Interest Income Expense,-410813000.0,-483203000.0,-305099000.0
Total Other Finance Cost,27963000.0,51403000.0,22607000.0
Interest Expense Non Operating,398394000.0,446496000.0,363781000.0
Interest Income Non Operating,15544000.0,14696000.0,58682000.0
Operating Income,815205000.0,734817000.0,686963000.0
Operating Expense,667595000.0,660346000.0,606083000.0
Other Operating Expenses,3386000.0,4450000.0,3689000.0
Depreciation And Amortization In Income Statement,114628000.0,109730000.0,
Depreciation Income Statement,114628000.0,109730000.0,
Selling General And Administration,551810000.0,547697000.0,606083000.0
Selling And Marketing Expense,354266000.0,343171000.0,360401000.0
General And Administrative Expense,197544000.0,204526000.0,245682000.0
Gross Profit,1482800000.0,1395163000.0,1293046000.0
Cost Of Revenue,776278000.0,746646000.0,669479000.0
Total Revenue,2259078000.0,2141809000.0,1962525000.0
Operating Revenue,2259078000.0,2141809000.0,1962525000.0
