,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-14247647.6,-11041304.1,-44354.0,-1077971.3
Tax Rate For Calcs,0.3482,0.3777,0.0662,0.2537
Normalized EBITDA,658110000.0,605975000.0,481192000.0,363910000.0
Total Unusual Items,-40918000.0,-29233000.0,-670000.0,-4249000.0
Total Unusual Items Excluding Goodwill,-40918000.0,-29233000.0,-670000.0,-4249000.0
Net Income From Continuing Operation Net Minority Interest,71484000.0,89673000.0,102336000.0,47979000.0
Reconciled Depreciation,206372000.0,180949000.0,141005000.0,102952000.0
Reconciled Cost Of Revenue,466496000.0,426862000.0,361892000.0,290515000.0
EBITDA,617192000.0,576742000.0,480522000.0,359661000.0
EBIT,410820000.0,395793000.0,339517000.0,256709000.0
Net Interest Income,-304073000.0,-258958000.0,-226166000.0,-188955000.0
Interest Expense,286900000.0,234984000.0,214252000.0,183021000.0
Interest Income,4999000.0,5045000.0,5608000.0,4696000.0
Normalized Income,98154352.4,107864695.9,102961646.0,51150028.7
Net Income From Continuing And Discontinued Operation,71484000.0,89673000.0,102336000.0,47979000.0
Total Expenses,818023000.0,751532000.0,657494000.0,486985000.0
Rent Expense Supplemental,97166000.0,96840000.0,82446000.0,70118000.0
Diluted Average Shares,116171000.0,115379000.0,114331000.0,89288000.0
Basic Average Shares,115833000.0,115366000.0,109086000.0,87743000.0
Diluted EPS,0.62,0.78,0.895085,0.537351
Basic EPS,0.62,0.78,0.938122,0.546813
Diluted NI Availto Com Stockholders,71484000.0,89673000.0,102336000.0,47979000.0
Net Income Common Stockholders,71484000.0,89673000.0,102336000.0,47979000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,71484000.0,89673000.0,102336000.0,47979000.0
Minority Interests,-9289000.0,-10401000.0,-14642000.0,-7013000.0
Net Income Including Noncontrolling Interests,80773000.0,100074000.0,116978000.0,54992000.0
Net Income Continuous Operations,80773000.0,100074000.0,116978000.0,54992000.0
Tax Provision,43147000.0,60735000.0,8287000.0,18696000.0
Pretax Income,123920000.0,160809000.0,125265000.0,73688000.0
Other Non Operating Income Expenses,12966000.0,10137000.0,8937000.0,9191000.0
Special Income Charges,-31326000.0,-29233000.0,-670000.0,-4249000.0
Other Special Charges,-6412000.0,-2372000.0,3000.0,
Write Off,37738000.0,31605000.0,667000.0,4249000.0
Impairment Of Capital Assets,,-2000.0,3000.0,0.0
Net Non Operating Interest Income Expense,-304073000.0,-258958000.0,-226166000.0,-188955000.0
Total Other Finance Cost,22172000.0,29019000.0,17522000.0,10630000.0
Interest Expense Non Operating,286900000.0,234984000.0,214252000.0,183021000.0
Interest Income Non Operating,4999000.0,5045000.0,5608000.0,4696000.0
Operating Income,400524000.0,377310000.0,328897000.0,223780000.0
Operating Expense,351527000.0,324670000.0,295602000.0,196470000.0
Other Operating Expenses,4118000.0,2719000.0,-508000.0,1131000.0
Depreciation And Amortization In Income Statement,75541000.0,59857000.0,42079000.0,17170000.0
Amortization,,0.0,0.0,0.0
Depreciation Income Statement,75541000.0,59857000.0,42079000.0,17170000.0
Selling General And Administration,141266000.0,131080000.0,205779000.0,137110000.0
Selling And Marketing Expense,75784000.0,67010000.0,152876000.0,103022000.0
General And Administrative Expense,65482000.0,64070000.0,52903000.0,34088000.0
Rent And Landing Fees,,215000.0,1783000.0,1436000.0
Gross Profit,752051000.0,701980000.0,624499000.0,420250000.0
Cost Of Revenue,466496000.0,426862000.0,361892000.0,290515000.0
Total Revenue,1218547000.0,1128842000.0,986391000.0,710765000.0
Operating Revenue,1218547000.0,1128842000.0,986391000.0,710765000.0
