,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-8446960.0,11034700.0,-1641860.0,0.0
Tax Rate For Calcs,0.34,0.34,0.34,0.34
Normalized EBITDA,1230372000.0,925065000.0,802750000.0,1107570000.0
Total Unusual Items,-24844000.0,32455000.0,-4829000.0,27783000.0
Total Unusual Items Excluding Goodwill,-24844000.0,32455000.0,-4829000.0,27783000.0
Net Income From Continuing Operation Net Minority Interest,260282000.0,103099000.0,2516000.0,263664000.0
Reconciled Depreciation,526348000.0,518129000.0,527263000.0,387328000.0
Reconciled Cost Of Revenue,10143331000.0,8615709000.0,7656883000.0,6238300000.0
EBITDA,1205528000.0,957520000.0,797921000.0,1107570000.0
EBIT,679180000.0,439391000.0,270658000.0,720242000.0
Net Interest Income,-680488000.0,-566564000.0,-697461000.0,-407613000.0
Interest Expense,504206000.0,437000000.0,552398000.0,491020000.0
Interest Income,62612000.0,38405000.0,6650000.0,83407000.0
Normalized Income,276679040.0,81678700.0,5703140.0,263664000.0
Net Income From Continuing And Discontinued Operation,260282000.0,103099000.0,2516000.0,263664000.0
Total Expenses,14052604000.0,12074060000.0,10795319000.0,8557384000.0
Diluted Average Shares,665004167.0,581999912.0,516188923.0,471326712.0
Basic Average Shares,665004167.0,581999912.0,489128656.0,471326712.0
Diluted EPS,0.401351,0.220447,0.004874,0.559408
Basic EPS,0.401351,0.220447,0.005166,0.559408
Diluted NI Availto Com Stockholders,260282000.0,103099000.0,2516000.0,263664000.0
Net Income Common Stockholders,260282000.0,103099000.0,2516000.0,263664000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,260282000.0,103099000.0,2516000.0,263664000.0
Minority Interests,-648000.0,-49000.0,-219000.0,615000.0
Net Income Including Noncontrolling Interests,260930000.0,103148000.0,2735000.0,263049000.0
Net Income Continuous Operations,260930000.0,103148000.0,2735000.0,263049000.0
Tax Provision,-85956000.0,-100757000.0,-284475000.0,-33827000.0
Pretax Income,174974000.0,2391000.0,-281740000.0,229222000.0
Net Non Operating Interest Income Expense,-680488000.0,-566564000.0,-697461000.0,-407613000.0
Total Other Finance Cost,238894000.0,167969000.0,151713000.0,177994000.0
Interest Expense Non Operating,504206000.0,437000000.0,552398000.0,491020000.0
Interest Income Non Operating,62612000.0,38405000.0,6650000.0,83407000.0
Operating Income,853825000.0,567765000.0,406803000.0,631691000.0
Operating Expense,3909273000.0,3458351000.0,3138436000.0,2319084000.0
Other Operating Expenses,3219000.0,2519000.0,2155000.0,827000.0
Selling General And Administration,3913691000.0,3459022000.0,3167877000.0,2579236000.0
Selling And Marketing Expense,3464032000.0,3072840000.0,2842023000.0,2257817000.0
General And Administrative Expense,449659000.0,386182000.0,325854000.0,321419000.0
Gross Profit,4763098000.0,4026116000.0,3545239000.0,2950775000.0
Cost Of Revenue,10143331000.0,8615709000.0,7656883000.0,6238300000.0
Total Revenue,14906429000.0,12641825000.0,11202122000.0,9189075000.0
Operating Revenue,14906429000.0,12641825000.0,11202122000.0,9189075000.0
