,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-105378000.0,176276000.0,231870000.0,35904000.0
Tax Rate For Calcs,0.193,0.254,0.262,0.204
Normalized EBITDA,6779000000.0,9739000000.0,7517000000.0,3449000000.0
Total Unusual Items,-546000000.0,694000000.0,885000000.0,176000000.0
Total Unusual Items Excluding Goodwill,-546000000.0,694000000.0,885000000.0,176000000.0
Net Income From Continuing Operation Net Minority Interest,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Reconciled Depreciation,1068000000.0,554000000.0,554000000.0,553000000.0
Reconciled Cost Of Revenue,180038000000.0,164031000000.0,154586000000.0,173957000000.0
EBITDA,6233000000.0,10433000000.0,8402000000.0,3625000000.0
EBIT,5165000000.0,9879000000.0,7848000000.0,3072000000.0
Net Interest Income,-2529000000.0,-758000000.0,-1006000000.0,-944000000.0
Interest Expense,2713000000.0,1341000000.0,1389000000.0,1142000000.0
Interest Income,79000000.0,175000000.0,177000000.0,117000000.0
Normalized Income,2419622000.0,5849276000.0,4112870000.0,1396904000.0
Net Income From Continuing And Discontinued Operation,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Total Expenses,183813000000.0,163573000000.0,156052000000.0,177649000000.0
Rent Expense Supplemental,453000000.0,380000000.0,282000000.0,288000000.0
Diluted Average Shares,1128476551.0,1194226615.0,1202716954.0,1200571095.0
Basic Average Shares,1122632485.0,1194226615.0,1199421491.0,1199367294.0
Diluted EPS,1.7758,5.331484,3.96274,1.28027
Basic EPS,1.7851,5.331484,3.97357,1.281484
Diluted NI Availto Com Stockholders,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Net Income Common Stockholders,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Net Income Including Noncontrolling Interests,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Net Income Continuous Operations,1979000000.0,6367000000.0,4766000000.0,1537000000.0
Tax Provision,473000000.0,2171000000.0,1693000000.0,393000000.0
Pretax Income,2452000000.0,8538000000.0,6459000000.0,1930000000.0
Other Non Operating Income Expenses,405000000.0,355000000.0,241000000.0,306000000.0
Special Income Charges,-1036000000.0,6000000.0,294000000.0,815000000.0
Other Special Charges,487000000.0,-264000000.0,-325000000.0,-875000000.0
Write Off,706000000.0,744000000.0,43000000.0,60000000.0
Restructuring And Mergern Acquisition,-157000000.0,-486000000.0,-12000000.0,0.0
Net Non Operating Interest Income Expense,-2529000000.0,-758000000.0,-1006000000.0,-944000000.0
Total Other Finance Cost,-105000000.0,-408000000.0,-206000000.0,-81000000.0
Interest Expense Non Operating,2713000000.0,1341000000.0,1389000000.0,1142000000.0
Interest Income Non Operating,79000000.0,175000000.0,177000000.0,117000000.0
Operating Income,5443000000.0,8699000000.0,6895000000.0,3797000000.0
Operating Expense,3775000000.0,-458000000.0,1466000000.0,3692000000.0
Other Operating Expenses,-996000000.0,-4387000000.0,-2179000000.0,95000000.0
Depreciation And Amortization In Income Statement,659000000.0,543000000.0,541000000.0,541000000.0
Depreciation Income Statement,659000000.0,543000000.0,541000000.0,541000000.0
Selling General And Administration,2301000000.0,2007000000.0,1932000000.0,1831000000.0
Selling And Marketing Expense,2095000000.0,1872000000.0,1846000000.0,1760000000.0
General And Administrative Expense,206000000.0,135000000.0,86000000.0,71000000.0
Rent And Landing Fees,453000000.0,380000000.0,282000000.0,288000000.0
Gross Profit,9218000000.0,8241000000.0,8361000000.0,7489000000.0
Cost Of Revenue,180038000000.0,164031000000.0,154586000000.0,173957000000.0
Total Revenue,189256000000.0,172272000000.0,162947000000.0,181446000000.0
Operating Revenue,189256000000.0,172272000000.0,162947000000.0,181446000000.0
