,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-272364.211867,-124.974515,0.0,0.0
Tax Rate For Calcs,0.169486,0.124975,0.146741,0.202951
Normalized EBITDA,615993000.0,490906000.0,362979000.0,208729000.0
Total Unusual Items,-1607000.0,-1000.0,0.0,24173000.0
Total Unusual Items Excluding Goodwill,-1607000.0,-1000.0,0.0,24173000.0
Net Income From Continuing Operation Net Minority Interest,362009000.0,343824000.0,268554000.0,133679000.0
Reconciled Depreciation,22793000.0,18805000.0,17029000.0,22306000.0
Reconciled Cost Of Revenue,2261580000.0,1733018000.0,1368707000.0,1062284000.0
EBITDA,614386000.0,490905000.0,362979000.0,208729000.0
EBIT,591593000.0,472100000.0,345950000.0,186423000.0
Net Interest Income,-86883000.0,-39082000.0,-17375000.0,-15463000.0
Interest Expense,82631000.0,25753000.0,21412000.0,20102000.0
Interest Income,1905000.0,1210000.0,743000.0,394000.0
Normalized Income,363343635.788133,343824875.025485,268554000.0,133679000.0
Net Income From Continuing And Discontinued Operation,362009000.0,343824000.0,268554000.0,133679000.0
Total Expenses,2765595000.0,2139546000.0,1751017000.0,1330994000.0
Diluted Average Shares,202909780.0,205603000.0,205842000.0,198256000.0
Basic Average Shares,202909780.0,198395000.0,198256000.0,198256000.0
Diluted EPS,1.784044,1.6723,1.3047,0.674275
Basic EPS,1.784044,1.733,1.3546,0.674275
Diluted NI Availto Com Stockholders,362009000.0,343824000.0,268554000.0,133679000.0
Net Income Common Stockholders,362009000.0,343824000.0,268554000.0,133679000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,362009000.0,343824000.0,268554000.0,133679000.0
Minority Interests,-60691000.0,-46741000.0,-8361000.0,1113000.0
Net Income Including Noncontrolling Interests,422700000.0,390565000.0,276915000.0,132566000.0
Net Income Continuous Operations,422700000.0,390565000.0,276915000.0,132566000.0
Tax Provision,86262000.0,55782000.0,47623000.0,33755000.0
Pretax Income,508962000.0,446347000.0,324538000.0,166321000.0
Net Non Operating Interest Income Expense,-86883000.0,-39082000.0,-17375000.0,-15463000.0
Total Other Finance Cost,6157000.0,14539000.0,-3294000.0,-4245000.0
Interest Expense Non Operating,82631000.0,25753000.0,21412000.0,20102000.0
Interest Income Non Operating,1905000.0,1210000.0,743000.0,394000.0
Operating Income,516112000.0,449851000.0,321006000.0,161211000.0
Operating Expense,504015000.0,406528000.0,382310000.0,268710000.0
Other Operating Expenses,31300000.0,7465000.0,29014000.0,21428000.0
Depreciation And Amortization In Income Statement,7813000.0,7692000.0,5029000.0,4177000.0
Depreciation Income Statement,7813000.0,7692000.0,5029000.0,4177000.0
Selling General And Administration,344887000.0,294651000.0,278235000.0,185616000.0
Selling And Marketing Expense,211925000.0,174086000.0,176863000.0,112215000.0
General And Administrative Expense,132962000.0,120565000.0,101372000.0,73401000.0
Gross Profit,1020127000.0,856379000.0,703316000.0,429921000.0
Cost Of Revenue,2261580000.0,1733018000.0,1368707000.0,1062284000.0
Total Revenue,3281707000.0,2589397000.0,2072023000.0,1492205000.0
Operating Revenue,3281707000.0,2589397000.0,2072023000.0,1492205000.0
