,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-19654720.0,847877.736082,76500.0,46397436.400115
Tax Rate For Calcs,0.34,0.350798,0.34,0.356435
Normalized EBITDA,1548198000.0,1641428000.0,1347629000.0,1517465000.0
Total Unusual Items,-57808000.0,2417000.0,225000.0,130171000.0
Total Unusual Items Excluding Goodwill,-57808000.0,2417000.0,225000.0,130171000.0
Net Income From Continuing Operation Net Minority Interest,98383000.0,264719000.0,30733000.0,278933000.0
Reconciled Depreciation,551539000.0,503035000.0,470287000.0,491231000.0
Reconciled Cost Of Revenue,13515765000.0,13510380000.0,13446975000.0,15139227000.0
EBITDA,1490390000.0,1643845000.0,1347854000.0,1647636000.0
EBIT,938851000.0,1140810000.0,877567000.0,1156405000.0
Net Interest Income,-623604000.0,-574790000.0,-645930000.0,-582957000.0
Interest Expense,575213000.0,555347000.0,612867000.0,528385000.0
Interest Income,3272000.0,2826000.0,7521000.0,1084000.0
Normalized Income,136536280.0,263149877.736082,30584500.0,195159436.400115
Net Income From Continuing And Discontinued Operation,98383000.0,264719000.0,30733000.0,278933000.0
Total Expenses,14426511000.0,14312894000.0,14165176000.0,15921641000.0
Diluted Average Shares,149769774.0,149867816.0,150552530.0,151597242.0
Basic Average Shares,149769774.0,149867816.0,150552530.0,151597242.0
Diluted EPS,0.65689,1.76635,0.20415,1.83996
Basic EPS,0.65689,1.76635,0.20415,1.83996
Diluted NI Availto Com Stockholders,98383000.0,264719000.0,30733000.0,278933000.0
Net Income Common Stockholders,98383000.0,264719000.0,30733000.0,278933000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,98383000.0,264719000.0,30733000.0,278933000.0
Minority Interests,-118751000.0,-115365000.0,-75158000.0,-125239000.0
Net Income Including Noncontrolling Interests,217134000.0,380084000.0,105891000.0,404172000.0
Net Income Continuous Operations,217134000.0,380084000.0,105891000.0,404172000.0
Tax Provision,146504000.0,205379000.0,158809000.0,223848000.0
Pretax Income,363638000.0,585463000.0,264700000.0,628020000.0
Special Income Charges,-44646000.0,-6215000.0,-7059000.0,108743000.0
Other Special Charges,-4177000.0,-9187000.0,-5754000.0,-105318000.0
Write Off,-2285000.0,-4804000.0,-1606000.0,-3465000.0
Restructuring And Mergern Acquisition,51108000.0,20206000.0,14419000.0,40000.0
Net Non Operating Interest Income Expense,-623604000.0,-574790000.0,-645930000.0,-582957000.0
Total Other Finance Cost,51663000.0,22269000.0,40584000.0,55656000.0
Interest Expense Non Operating,575213000.0,555347000.0,612867000.0,528385000.0
Interest Income Non Operating,3272000.0,2826000.0,7521000.0,1084000.0
Operating Income,940026000.0,1018919000.0,790044000.0,1026228000.0
Operating Expense,910746000.0,802514000.0,718201000.0,782414000.0
Other Operating Expenses,15130000.0,3979000.0,-24683000.0,39825000.0
Selling General And Administration,904967000.0,798535000.0,757579000.0,742589000.0
Selling And Marketing Expense,81429000.0,76150000.0,81674000.0,96095000.0
General And Administrative Expense,823538000.0,722385000.0,675905000.0,646494000.0
Gross Profit,1850772000.0,1821433000.0,1508245000.0,1808642000.0
Cost Of Revenue,13515765000.0,13510380000.0,13446975000.0,15139227000.0
Total Revenue,15366537000.0,15331813000.0,14955220000.0,16947869000.0
Operating Revenue,15366537000.0,15331813000.0,14955220000.0,16947869000.0
