,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-2306448.0,1259713.984933,-416160.0,-208868.0
Tax Rate For Calcs,0.144,0.062675,0.34,0.101
Normalized EBITDA,528035000.0,407548000.0,395535000.0,335091000.0
Total Unusual Items,-16017000.0,20099000.0,-1224000.0,-2068000.0
Total Unusual Items Excluding Goodwill,-16017000.0,20099000.0,-1224000.0,-2068000.0
Net Income From Continuing Operation Net Minority Interest,124605000.0,105509000.0,92905000.0,86345000.0
Reconciled Depreciation,232540000.0,210203000.0,200154000.0,184568000.0
Reconciled Cost Of Revenue,3727600000.0,3371196000.0,3083809000.0,2747937000.0
EBITDA,512018000.0,427647000.0,394311000.0,333023000.0
EBIT,279478000.0,217444000.0,194157000.0,148455000.0
Net Interest Income,-129373000.0,-110125000.0,-104045000.0,-74566000.0
Interest Expense,133938000.0,104880000.0,102573000.0,70025000.0
Interest Income,11198000.0,6181000.0,5713000.0,2682000.0
Normalized Income,138315552.0,86669713.984933,93712840.0,88204132.0
Net Income From Continuing And Discontinued Operation,124605000.0,105509000.0,92905000.0,86345000.0
Total Expenses,5254060000.0,4743521000.0,4292579000.0,3851238000.0
Rent Expense Supplemental,56469000.0,47260000.0,40174000.0,34279000.0
Total Operating Income As Reported,254693000.0,195279000.0,166573000.0,137285000.0
Diluted Average Shares,149036753.0,148793251.0,148707743.0,148574609.0
Basic Average Shares,149036753.0,148793251.0,148707743.0,148574609.0
Diluted EPS,0.83,0.709098,0.62,0.58
Basic EPS,0.84,0.709098,0.62,0.58
Diluted NI Availto Com Stockholders,124605000.0,105509000.0,92905000.0,86345000.0
Net Income Common Stockholders,124605000.0,105509000.0,92905000.0,86345000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,124605000.0,105509000.0,92905000.0,86345000.0
Net Income Including Noncontrolling Interests,124605000.0,105509000.0,92905000.0,86345000.0
Net Income Continuous Operations,124605000.0,105509000.0,92905000.0,86345000.0
Tax Provision,20935000.0,7055000.0,-1321000.0,-7915000.0
Pretax Income,145540000.0,112564000.0,91584000.0,78430000.0
Other Non Operating Income Expenses,189000.0,347000.0,379000.0,330000.0
Special Income Charges,-3534000.0,-4027000.0,-2258000.0,-2068000.0
Other Special Charges,3534000.0,4027000.0,2258000.0,2068000.0
Net Non Operating Interest Income Expense,-129373000.0,-110125000.0,-104045000.0,-74566000.0
Total Other Finance Cost,6633000.0,11426000.0,7185000.0,7223000.0
Interest Expense Non Operating,133938000.0,104880000.0,102573000.0,70025000.0
Interest Income Non Operating,11198000.0,6181000.0,5713000.0,2682000.0
Operating Income,258058000.0,198941000.0,168438000.0,139237000.0
Operating Expense,1526460000.0,1372325000.0,1208770000.0,1103301000.0
Other Operating Expenses,33670000.0,28058000.0,27127000.0,21178000.0
Depreciation And Amortization In Income Statement,231505000.0,209194000.0,199085000.0,183766000.0
Depreciation Income Statement,231505000.0,209194000.0,199085000.0,183766000.0
Selling General And Administration,420782000.0,395680000.0,232793000.0,220141000.0
Selling And Marketing Expense,355445000.0,328868000.0,216170000.0,210060000.0
General And Administrative Expense,65337000.0,66812000.0,16623000.0,10081000.0
Rent And Landing Fees,56469000.0,47260000.0,40174000.0,34279000.0
Gross Profit,1784518000.0,1571266000.0,1377208000.0,1242538000.0
Cost Of Revenue,3727600000.0,3371196000.0,3083809000.0,2747937000.0
Total Revenue,5512118000.0,4942462000.0,4461017000.0,3990475000.0
Operating Revenue,5512118000.0,4942462000.0,4461017000.0,3990475000.0
