,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-952000.0,-2568489.329603,2849110.0,-6301080.0
Tax Rate For Calcs,0.08,0.088028,0.11,0.12
Normalized EBITDA,3259820000.0,2644738000.0,1758672000.0,1489566000.0
Total Unusual Items,-11900000.0,-29178000.0,25901000.0,-52509000.0
Total Unusual Items Excluding Goodwill,-11900000.0,-29178000.0,25901000.0,-52509000.0
Net Income From Continuing Operation Net Minority Interest,2006756000.0,1648996000.0,942090000.0,808880000.0
Reconciled Depreciation,79338000.0,50815000.0,67088000.0,43474000.0
Reconciled Cost Of Revenue,6353525000.0,5385823000.0,4209100000.0,3678333000.0
EBITDA,3247920000.0,2615560000.0,1784573000.0,1437057000.0
EBIT,3168582000.0,2564745000.0,1717485000.0,1393583000.0
Net Interest Income,-641879000.0,-476041000.0,-468602000.0,-401655000.0
Interest Expense,624722000.0,458263000.0,455274000.0,411967000.0
Interest Income,24585000.0,28819000.0,32131000.0,29330000.0
Normalized Income,2017704000.0,1675605510.670397,919038110.0,855087920.0
Net Income From Continuing And Discontinued Operation,2006756000.0,1648996000.0,942090000.0,808880000.0
Total Expenses,7973890000.0,6668358000.0,5423037000.0,4860196000.0
Rent Expense Supplemental,18179000.0,17471000.0,23800000.0,24890000.0
Total Operating Income As Reported,2296181000.0,1992797000.0,1125439000.0,913289000.0
Diluted Average Shares,366310939.0,439332000.0,374921000.0,375730000.0
Basic Average Shares,366310939.0,439332000.0,374921000.0,375730000.0
Diluted EPS,5.478952,4.49891,2.51277,2.15282
Basic EPS,5.478952,4.49891,2.51277,2.15282
Diluted NI Availto Com Stockholders,2006756000.0,1648996000.0,942090000.0,808880000.0
Net Income Common Stockholders,2006756000.0,1648996000.0,942090000.0,808880000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2006756000.0,1648996000.0,942090000.0,808880000.0
Minority Interests,-389073000.0,-272056000.0,-163610000.0,-49711000.0
Net Income Including Noncontrolling Interests,2395829000.0,1921052000.0,1105700000.0,858591000.0
Net Income Continuous Operations,2395829000.0,1921052000.0,1105700000.0,858591000.0
Tax Provision,148031000.0,185430000.0,156511000.0,123025000.0
Pretax Income,2543860000.0,2106482000.0,1262211000.0,981616000.0
Net Non Operating Interest Income Expense,-641879000.0,-476041000.0,-468602000.0,-401655000.0
Total Other Finance Cost,41742000.0,46597000.0,45459000.0,19018000.0
Interest Expense Non Operating,624722000.0,458263000.0,455274000.0,411967000.0
Interest Income Non Operating,24585000.0,28819000.0,32131000.0,29330000.0
Operating Income,1449604000.0,1297330000.0,829662000.0,552099000.0
Operating Expense,1620365000.0,1282535000.0,1213937000.0,1181863000.0
Other Operating Expenses,245954000.0,232355000.0,68513000.0,128924000.0
Selling General And Administration,1062122000.0,784203000.0,871942000.0,766189000.0
Selling And Marketing Expense,638218000.0,449644000.0,459964000.0,371483000.0
General And Administrative Expense,423904000.0,334559000.0,411978000.0,394706000.0
Rent And Landing Fees,18179000.0,17471000.0,23800000.0,24890000.0
Gross Profit,3069969000.0,2579865000.0,2043599000.0,1733962000.0
Cost Of Revenue,6353525000.0,5385823000.0,4209100000.0,3678333000.0
Total Revenue,9423494000.0,7965688000.0,6252699000.0,5412295000.0
Operating Revenue,9423494000.0,7965688000.0,6252699000.0,5412295000.0
