,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-12511320.0,35952280.0,-1633020.0,2583032.105305
Tax Rate For Calcs,0.34,0.34,0.34,0.364269
Normalized EBITDA,1683684000.0,1704899000.0,1633715000.0,1350421000.0
Total Unusual Items,7409000.0,105742000.0,-4803000.0,7091000.0
Total Unusual Items Excluding Goodwill,-36798000.0,105742000.0,-4803000.0,7091000.0
Net Income From Continuing Operation Net Minority Interest,181491000.0,341378000.0,152344000.0,-58244000.0
Reconciled Depreciation,815619000.0,824641000.0,785268000.0,708542000.0
Reconciled Cost Of Revenue,2181031000.0,2086676000.0,2077284000.0,1982472000.0
EBITDA,1691093000.0,1810641000.0,1628912000.0,1357512000.0
EBIT,875474000.0,986000000.0,843644000.0,648970000.0
Net Interest Income,-800424000.0,-717706000.0,-752222000.0,-821660000.0
Interest Expense,735868000.0,683745000.0,733375000.0,736183000.0
Interest Income,99063000.0,75212000.0,55891000.0,53796000.0
Normalized Income,249984680.0,271588280.0,155513980.0,-62751967.894695
Net Income From Continuing And Discontinued Operation,181491000.0,341378000.0,152344000.0,-58244000.0
Total Expenses,4663926000.0,4523067000.0,4421890000.0,4029262000.0
Rent Expense Supplemental,43473000.0,52310000.0,45048000.0,41491000.0
Total Operating Income As Reported,887347000.0,917500000.0,804567000.0,617413000.0
Diluted Average Shares,278475000.0,293273000.0,290803000.0,294426000.0
Basic Average Shares,276042000.0,291367000.0,290803000.0,294426000.0
Diluted EPS,0.65173,1.16403,0.52387,-0.19782
Basic EPS,0.65748,1.17164,0.52387,-0.19782
Diluted NI Availto Com Stockholders,181491000.0,341378000.0,152344000.0,-58244000.0
Net Income Common Stockholders,181491000.0,341378000.0,152344000.0,-58244000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,181491000.0,341378000.0,152344000.0,-58244000.0
Minority Interests,1314000.0,170000.0,-2307000.0,-2800000.0
Net Income Including Noncontrolling Interests,180177000.0,341208000.0,154651000.0,-55444000.0
Net Income Continuous Operations,180177000.0,341208000.0,154651000.0,-55444000.0
Tax Provision,-40571000.0,-38953000.0,-44382000.0,-31769000.0
Pretax Income,139606000.0,302255000.0,110269000.0,-87213000.0
Other Non Operating Income Expenses,16025000.0,13487000.0,11012000.0,8232000.0
Special Income Charges,-50693000.0,21427000.0,-5224000.0,5589000.0
Other Special Charges,6486000.0,-21427000.0,38147000.0,-5589000.0
Restructuring And Mergern Acquisition,,,-32923000.0,
Net Non Operating Interest Income Expense,-800424000.0,-717706000.0,-752222000.0,-821660000.0
Total Other Finance Cost,163619000.0,109173000.0,74738000.0,139273000.0
Interest Expense Non Operating,735868000.0,683745000.0,733375000.0,736183000.0
Interest Income Non Operating,99063000.0,75212000.0,55891000.0,53796000.0
Operating Income,857814000.0,828718000.0,725672000.0,535678000.0
Operating Expense,2482895000.0,2436391000.0,2344606000.0,2046790000.0
Other Operating Expenses,962685000.0,953182000.0,913940000.0,816005000.0
Depreciation And Amortization In Income Statement,386474000.0,399205000.0,361630000.0,280492000.0
Depreciation Income Statement,386474000.0,399205000.0,361630000.0,280492000.0
Selling General And Administration,749061000.0,726639000.0,658524000.0,634184000.0
Selling And Marketing Expense,397126000.0,385140000.0,336452000.0,347293000.0
General And Administrative Expense,351935000.0,341499000.0,322072000.0,286891000.0
Rent And Landing Fees,4090000.0,5910000.0,6057000.0,5805000.0
Gross Profit,3340709000.0,3265109000.0,3070278000.0,2582468000.0
Cost Of Revenue,2181031000.0,2086676000.0,2077284000.0,1982472000.0
Total Revenue,5521740000.0,5351785000.0,5147562000.0,4564940000.0
Operating Revenue,5521740000.0,5351785000.0,5147562000.0,4564940000.0
