,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,30985906.91715,20143412.157637,-1519934.029851,-109850940.0
Tax Rate For Calcs,0.139049,0.147157,0.146119,0.34
Normalized EBITDA,1143415000.0,931582000.0,1009190000.0,840646000.0
Total Unusual Items,222841000.0,136884000.0,-10402000.0,-323091000.0
Total Unusual Items Excluding Goodwill,222841000.0,136884000.0,-10402000.0,-323091000.0
Net Income From Continuing Operation Net Minority Interest,582460000.0,399771000.0,304713000.0,7568000.0
Reconciled Depreciation,127300000.0,193898000.0,174376000.0,159030000.0
Reconciled Cost Of Revenue,371207000.0,406667000.0,418208000.0,420884000.0
EBITDA,1366256000.0,1068466000.0,998788000.0,517555000.0
EBIT,1238956000.0,874568000.0,824412000.0,358525000.0
Net Interest Income,-581456000.0,-409397000.0,-249929000.0,-302593000.0
Interest Expense,562290000.0,405694000.0,462612000.0,489439000.0
Interest Income,9904000.0,10805000.0,212683000.0,186846000.0
Normalized Income,390604906.91715,283030412.157637,313595065.970149,220808060.0
Net Income From Continuing And Discontinued Operation,582460000.0,399771000.0,304713000.0,7568000.0
Total Expenses,385062000.0,521032000.0,501245000.0,517171000.0
Diluted NI Availto Com Stockholders,582460000.0,399771000.0,304713000.0,7568000.0
Net Income Common Stockholders,582460000.0,399771000.0,304713000.0,7568000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,582460000.0,399771000.0,304713000.0,7568000.0
Minority Interests,-116000.0,-105000.0,-4221000.0,-5253000.0
Net Income Including Noncontrolling Interests,582576000.0,399876000.0,308934000.0,12821000.0
Net Income Continuous Operations,582576000.0,399876000.0,308934000.0,12821000.0
Tax Provision,94090000.0,68998000.0,52866000.0,-143735000.0
Pretax Income,676666000.0,468874000.0,361800000.0,-130914000.0
Net Non Operating Interest Income Expense,-581456000.0,-409397000.0,-249929000.0,-302593000.0
Total Other Finance Cost,29070000.0,14508000.0,12301000.0,-14724000.0
Interest Expense Non Operating,562290000.0,405694000.0,462612000.0,489439000.0
Interest Income Non Operating,9904000.0,10805000.0,212683000.0,186846000.0
Operating Income,1101771000.0,715313000.0,655918000.0,499170000.0
Operating Expense,13855000.0,114365000.0,83037000.0,96287000.0
Other Operating Expenses,312422000.0,73415000.0,10371000.0,6551000.0
Depreciation And Amortization In Income Statement,45351000.0,37888000.0,27792000.0,25541000.0
Depreciation Income Statement,45351000.0,37888000.0,27792000.0,25541000.0
Selling General And Administration,40737000.0,35107000.0,139742000.0,139956000.0
Selling And Marketing Expense,0.0,0.0,0.0,0.0
General And Administrative Expense,40737000.0,35107000.0,139742000.0,139956000.0
Gross Profit,1115626000.0,829678000.0,738955000.0,595457000.0
Cost Of Revenue,371207000.0,406667000.0,418208000.0,420884000.0
Total Revenue,1486833000.0,1236345000.0,1157163000.0,1016341000.0
Operating Revenue,1486833000.0,1236345000.0,1157163000.0,1016341000.0
