,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-2321723.327584,-60744052.191082,-5719485.290185,-13202483.906152
Tax Rate For Calcs,0.148771,0.247998,0.183217,0.222073
Normalized EBITDA,406427000.0,447252000.0,313370000.0,345891000.0
Total Unusual Items,-15606000.0,-244938000.0,-31217000.0,-59451000.0
Total Unusual Items Excluding Goodwill,-15606000.0,-244938000.0,-31217000.0,-59451000.0
Net Income From Continuing Operation Net Minority Interest,237691000.0,31709000.0,64048000.0,106204000.0
Reconciled Depreciation,4127000.0,4129000.0,5258000.0,9121000.0
Reconciled Cost Of Revenue,1399613000.0,1579582000.0,1387087000.0,1795451000.0
EBITDA,390821000.0,202314000.0,282153000.0,286440000.0
EBIT,386694000.0,198185000.0,276895000.0,277319000.0
Net Interest Income,-25602000.0,-26269000.0,-30706000.0,29290000.0
Interest Expense,35376000.0,37123000.0,45077000.0,24272000.0
Interest Income,14634000.0,9840000.0,13938000.0,20022000.0
Normalized Income,250975276.672416,215902947.808918,89545514.709815,152452516.093848
Net Income From Continuing And Discontinued Operation,237691000.0,42108000.0,215997000.0,104384000.0
Total Expenses,1676950000.0,1810850000.0,1569063000.0,2129714000.0
Total Operating Income As Reported,227700000.0,217573000.0,189659000.0,128771000.0
Diluted Average Shares,167570000.0,103903000.0,198636196.0,210972000.0
Basic Average Shares,163565000.0,98004000.0,198636196.0,205623000.0
Diluted EPS,1.42,0.41,1.0874,0.495
Basic EPS,1.45,0.43,1.0874,0.508
Diluted NI Availto Com Stockholders,237691000.0,42108000.0,215997000.0,104384000.0
Net Income Common Stockholders,237691000.0,42108000.0,215997000.0,104384000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,237691000.0,42108000.0,215997000.0,104384000.0
Minority Interests,-61361000.0,-89410000.0,-125297000.0,-90648000.0
Net Income Including Noncontrolling Interests,299052000.0,131518000.0,341294000.0,195032000.0
Net Income Discontinuous Operations,0.0,10399000.0,151949000.0,-1820000.0
Net Income Continuous Operations,299052000.0,121119000.0,189345000.0,196852000.0
Tax Provision,52266000.0,39943000.0,42473000.0,56195000.0
Pretax Income,351318000.0,161062000.0,231818000.0,253047000.0
Special Income Charges,-15606000.0,-244938000.0,-31217000.0,-59451000.0
Other Special Charges,15606000.0,244938000.0,31217000.0,59451000.0
Net Non Operating Interest Income Expense,-25602000.0,-26269000.0,-30706000.0,29290000.0
Total Other Finance Cost,4860000.0,-1014000.0,-433000.0,-33540000.0
Interest Expense Non Operating,35376000.0,37123000.0,45077000.0,24272000.0
Interest Income Non Operating,14634000.0,9840000.0,13938000.0,20022000.0
Operating Income,243307000.0,346442000.0,220878000.0,188222000.0
Operating Expense,277337000.0,231268000.0,181976000.0,334263000.0
Other Operating Expenses,19735000.0,7421000.0,-4807000.0,13051000.0
Selling General And Administration,164172000.0,135585000.0,173746000.0,280720000.0
Selling And Marketing Expense,119994000.0,95087000.0,84556000.0,153259000.0
General And Administrative Expense,44178000.0,40498000.0,89190000.0,127461000.0
Gross Profit,520644000.0,577710000.0,402854000.0,522485000.0
Cost Of Revenue,1399613000.0,1579582000.0,1387087000.0,1795451000.0
Total Revenue,1920257000.0,2157292000.0,1789941000.0,2317936000.0
Operating Revenue,1920257000.0,2157292000.0,1789941000.0,2317936000.0
