,2026-03-31,2025-03-31
Free Cash Flow,-28281000.0,10516000.0
Repayment Of Debt,0.0,-473000.0
Issuance Of Capital Stock,0.0,228000.0
Capital Expenditure,-26601000.0,-49690000.0
End Cash Position,129664000.0,194814000.0
Other Cash Adjustment Outside Changein Cash,,-1000.0
Beginning Cash Position,574456000.0,260004000.0
Changes In Cash,-444792000.0,-65189000.0
Financing Cash Flow,-271000.0,-245000.0
Cash Dividends Paid,-271000.0,
Net Common Stock Issuance,0.0,228000.0
Common Stock Issuance,0.0,228000.0
Net Issuance Payments Of Debt,0.0,-473000.0
Net Long Term Debt Issuance,0.0,-473000.0
Long Term Debt Payments,0.0,-473000.0
Investing Cash Flow,-442841000.0,-125150000.0
Net Other Investing Changes,27052000.0,-85010000.0
Net Investment Purchase And Sale,0.0,9550000.0
Sale Of Investment,0.0,10550000.0
Purchase Of Investment,0.0,-1000000.0
Net Business Purchase And Sale,-320787000.0,0.0
Purchase Of Business,-320787000.0,0.0
Net PPE Purchase And Sale,-26601000.0,-49690000.0
Purchase Of PPE,-26601000.0,-49690000.0
Operating Cash Flow,-1680000.0,60206000.0
Change In Working Capital,-187796000.0,-49455000.0
Change In Other Current Assets,-14824000.0,-8994000.0
Change In Payable,-167002000.0,-78549000.0
Change In Inventory,10396000.0,-8167000.0
Change In Receivables,-16366000.0,46255000.0
Other Non Cash Items,28652000.0,11860000.0
Provisionand Write Offof Assets,8161000.0,-5100000.0
Depreciation And Amortization,83693000.0,74712000.0
Depreciation,83693000.0,74712000.0
Gain Loss On Investment Securities,-92000.0,-2376000.0
Net Income From Continuing Operations,65702000.0,30565000.0
