,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-55897200.0,-33201185.157102,-25358042.793318,-8009164.8
Tax Rate For Calcs,0.225,0.301011,0.20323,0.2674
Total Unusual Items,-248432000.0,-110299000.0,-124775000.0,-29952000.0
Total Unusual Items Excluding Goodwill,-248432000.0,-110299000.0,-124775000.0,-29952000.0
Net Income From Continuing Operation Net Minority Interest,12766035000.0,13365506000.0,9449313000.0,14287093000.0
Reconciled Depreciation,2625783000.0,2731018000.0,2740950000.0,2585502000.0
Net Interest Income,57634318000.0,56678560000.0,46884034000.0,47503177000.0
Interest Expense,104860321000.0,80504918000.0,81398673000.0,67721941000.0
Interest Income,162494639000.0,137183478000.0,128282707000.0,115225118000.0
Normalized Income,12958569800.0,13442603814.842897,9548729957.206682,14309035835.2
Net Income From Continuing And Discontinued Operation,12766035000.0,13365506000.0,9449313000.0,14287093000.0
Diluted NI Availto Com Stockholders,6197567000.0,6488760000.0,4587598000.0,6936588000.0
Net Income Common Stockholders,6197567000.0,6488760000.0,4587598000.0,6936588000.0
Preferred Stock Dividends,6568468000.0,6876746000.0,4861715000.0,7350505000.0
Net Income,12766035000.0,13365506000.0,9449313000.0,14287093000.0
Minority Interests,-199088000.0,-48257000.0,-49499000.0,-52382000.0
Net Income Including Noncontrolling Interests,12965123000.0,13413763000.0,9498812000.0,14339475000.0
Net Income Continuous Operations,12965123000.0,13413763000.0,9498812000.0,14339475000.0
Tax Provision,3763871000.0,5776465000.0,2422839000.0,5235252000.0
Pretax Income,16728994000.0,19190228000.0,11921651000.0,19574727000.0
Special Income Charges,-248432000.0,-110299000.0,-124775000.0,-29952000.0
Other Special Charges,-148514000.0,-142188000.0,-125398000.0,-131482000.0
Write Off,329923000.0,203590000.0,230700000.0,130183000.0
Impairment Of Capital Assets,67023000.0,48897000.0,19473000.0,31251000.0
Gain On Sale Of Security,-18445385000.0,-27989026000.0,-24338183000.0,-20637340000.0
Depreciation Amortization Depletion Income Statement,2625783000.0,2731018000.0,2740950000.0,2585502000.0
Depreciation And Amortization In Income Statement,2625783000.0,2731018000.0,2740950000.0,2585502000.0
Amortization,1538749000.0,1144740000.0,899334000.0,725459000.0
Amortization Of Intangibles Income Statement,1538749000.0,1144740000.0,899334000.0,725459000.0
Depreciation Income Statement,1087034000.0,1586278000.0,1841616000.0,1860043000.0
Selling General And Administration,19370960000.0,18873347000.0,18068023000.0,16776663000.0
Selling And Marketing Expense,482880000.0,516448000.0,521964000.0,540593000.0
General And Administrative Expense,18888080000.0,18356899000.0,17546059000.0,16236070000.0
Other Gand A,6534260000.0,6117870000.0,6141929000.0,5828650000.0
Insurance And Claims,654474000.0,641033000.0,590204000.0,510425000.0
Salaries And Wages,11699346000.0,11597996000.0,10813926000.0,9896995000.0
Total Revenue,46680266000.0,48518147000.0,39965346000.0,43173381000.0
Operating Revenue,46680266000.0,48518147000.0,39965346000.0,43173381000.0
Professional Expense And Contract Services Expense,2053946000.0,2004832000.0,1884892000.0,1802948000.0
Other Non Interest Expense,1131786000.0,1326171000.0,1039879000.0,1387278000.0
