,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,411306.0,-1277779.703722,2783440.041624,1365793.0
Tax Rate For Calcs,0.049,0.095449,0.057939,0.013
Normalized EBITDA,784681000.0,920544000.0,648830000.0,572781000.0
Total Unusual Items,8394000.0,-13387000.0,48041000.0,105061000.0
Total Unusual Items Excluding Goodwill,8394000.0,-13387000.0,48041000.0,105061000.0
Net Income From Continuing Operation Net Minority Interest,644808000.0,735236000.0,557671000.0,568027000.0
Reconciled Depreciation,100270000.0,84371000.0,95796000.0,93746000.0
Reconciled Cost Of Revenue,1415265000.0,1387506000.0,1349924000.0,1504894000.0
EBITDA,793075000.0,907157000.0,696871000.0,677842000.0
EBIT,692805000.0,822786000.0,601075000.0,584096000.0
Net Interest Income,98697000.0,114885000.0,132658000.0,88945000.0
Interest Expense,15028000.0,9967000.0,9106000.0,8779000.0
Interest Income,9219000.0,19908000.0,38656000.0,42056000.0
Normalized Income,636825306.0,747345220.296278,512413440.041624,464331793.0
Net Income From Continuing And Discontinued Operation,644808000.0,735236000.0,557671000.0,568027000.0
Total Expenses,2125980000.0,1908238000.0,1896245000.0,2079841000.0
Rent Expense Supplemental,4219000.0,4097000.0,3539000.0,8902000.0
Total Operating Income As Reported,324895000.0,557564000.0,274928000.0,239120000.0
Diluted Average Shares,902043873.0,902081841.0,902061523.0,902472623.0
Basic Average Shares,902043873.0,902081841.0,902061523.0,901875993.0
Diluted EPS,0.7148,0.815,0.6182,0.6294
Basic EPS,0.7148,0.815,0.6182,0.6298
Diluted NI Availto Com Stockholders,644808000.0,735236000.0,557671000.0,568027000.0
Net Income Common Stockholders,644808000.0,735236000.0,557671000.0,568027000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,644808000.0,735236000.0,557671000.0,568027000.0
Net Income Including Noncontrolling Interests,644808000.0,735236000.0,557671000.0,568027000.0
Net Income Continuous Operations,644808000.0,735236000.0,557671000.0,568027000.0
Tax Provision,32969000.0,77583000.0,34298000.0,7290000.0
Pretax Income,677777000.0,812819000.0,591969000.0,575317000.0
Special Income Charges,-86278000.0,-14930000.0,-8606000.0,
Other Special Charges,30906000.0,15248000.0,8606000.0,
Write Off,54261000.0,-318000.0,,
Restructuring And Mergern Acquisition,1111000.0,0.0,,
Net Non Operating Interest Income Expense,98697000.0,114885000.0,132658000.0,88945000.0
Total Other Finance Cost,-104506000.0,-104944000.0,-103108000.0,-55668000.0
Interest Expense Non Operating,15028000.0,9967000.0,9106000.0,8779000.0
Interest Income Non Operating,9219000.0,19908000.0,38656000.0,42056000.0
Operating Income,269231000.0,518672000.0,338185000.0,256868000.0
Operating Expense,710715000.0,520732000.0,546321000.0,574947000.0
Other Operating Expenses,67981000.0,13607000.0,72323000.0,63065000.0
Depreciation And Amortization In Income Statement,25677000.0,14129000.0,25811000.0,29712000.0
Depreciation Income Statement,25677000.0,14129000.0,25811000.0,29712000.0
Selling General And Administration,666148000.0,548462000.0,515726000.0,536043000.0
Selling And Marketing Expense,638966000.0,530952000.0,497443000.0,516040000.0
General And Administrative Expense,27182000.0,17510000.0,18283000.0,20003000.0
Rent And Landing Fees,4219000.0,4097000.0,3539000.0,8902000.0
Gross Profit,979946000.0,1039404000.0,884506000.0,831815000.0
Cost Of Revenue,1415265000.0,1387506000.0,1349924000.0,1504894000.0
Total Revenue,2395211000.0,2426910000.0,2234430000.0,2336709000.0
Operating Revenue,2395211000.0,2426910000.0,2234430000.0,2336709000.0
