,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-372363264.701196,339672546.893467,-175204796.312968,-45684718.674921
Tax Rate For Calcs,0.184116,0.196799,0.171209,0.047498
Normalized EBITDA,14137562000.0,8169486000.0,8408605000.0,7037429000.0
Total Unusual Items,-2022433000.0,1725991000.0,-1023336000.0,-961830000.0
Total Unusual Items Excluding Goodwill,-2022433000.0,1725991000.0,-1023336000.0,-961830000.0
Net Income From Continuing Operation Net Minority Interest,4688418000.0,3846945000.0,2040722000.0,1194966000.0
Reconciled Depreciation,892097000.0,891384000.0,834601000.0,1404142000.0
Reconciled Cost Of Revenue,43547372000.0,41108709000.0,38937076000.0,17785662000.0
EBITDA,12115129000.0,9895477000.0,7385269000.0,6075599000.0
EBIT,11223032000.0,9004093000.0,6550668000.0,4671457000.0
Net Interest Income,-2950900000.0,-2107626000.0,-2351340000.0,-2057375000.0
Interest Expense,5286372000.0,4106044000.0,4000324000.0,3346193000.0
Interest Income,5482522000.0,3730799000.0,3754271000.0,1459353000.0
Normalized Income,6338487735.298804,2460626546.893467,2888853203.687032,2111111281.325079
Net Income From Continuing And Discontinued Operation,4688418000.0,3846945000.0,2040722000.0,1194966000.0
Total Expenses,45880782000.0,43341231000.0,41136658000.0,19248233000.0
Rent Expense Supplemental,162309000.0,157111000.0,128705000.0,119773000.0
Diluted Average Shares,2206410000.0,2220119596.0,2254607000.0,2258804000.0
Basic Average Shares,2206410000.0,2220119596.0,2254607000.0,2254304000.0
Diluted EPS,2.1249,1.732744,0.9051,0.529
Basic EPS,2.1249,1.732744,0.9051,0.5301
Diluted NI Availto Com Stockholders,4688418000.0,3846945000.0,2040722000.0,1194966000.0
Net Income Common Stockholders,4688418000.0,3846945000.0,2040722000.0,1194966000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4688418000.0,3846945000.0,2040722000.0,1194966000.0
Minority Interests,-155205000.0,-87175000.0,-72979000.0,-67351000.0
Net Income Including Noncontrolling Interests,4843623000.0,3934120000.0,2113701000.0,1262317000.0
Net Income Continuous Operations,4843623000.0,3934120000.0,2113701000.0,1262317000.0
Tax Provision,1093037000.0,963929000.0,436643000.0,62947000.0
Pretax Income,5936660000.0,4898049000.0,2550344000.0,1325264000.0
Special Income Charges,-163079000.0,2657000.0,109671000.0,36874000.0
Other Special Charges,163079000.0,-2657000.0,-109671000.0,-36874000.0
Net Non Operating Interest Income Expense,-2950900000.0,-2107626000.0,-2351340000.0,-2057375000.0
Total Other Finance Cost,3147050000.0,1732381000.0,2105287000.0,170535000.0
Interest Expense Non Operating,5286372000.0,4106044000.0,4000324000.0,3346193000.0
Interest Income Non Operating,5482522000.0,3730799000.0,3754271000.0,1459353000.0
Operating Income,9845070000.0,7230030000.0,5371900000.0,3739210000.0
Operating Expense,2333410000.0,2232522000.0,2199582000.0,1462571000.0
Other Operating Expenses,360060000.0,440176000.0,468032000.0,345392000.0
Depreciation And Amortization In Income Statement,307690000.0,309852000.0,254166000.0,150269000.0
Depreciation Income Statement,307690000.0,309852000.0,254166000.0,150269000.0
Selling General And Administration,652973000.0,500094000.0,612211000.0,298708000.0
Selling And Marketing Expense,181798000.0,127483000.0,242727000.0,73520000.0
General And Administrative Expense,471175000.0,372611000.0,369484000.0,225188000.0
Rent And Landing Fees,67926000.0,54608000.0,37688000.0,35790000.0
Gross Profit,12178480000.0,9462552000.0,7571482000.0,5201781000.0
Cost Of Revenue,43547372000.0,41108709000.0,38937076000.0,17785662000.0
Total Revenue,55725852000.0,50571261000.0,46508558000.0,22987443000.0
Operating Revenue,55725852000.0,50571261000.0,46508558000.0,22987443000.0
