,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.012313,0.009682,0.34,0.098805
Net Income From Continuing Operation Net Minority Interest,1263019000.0,1230594000.0,1111073000.0,1051044000.0
Reconciled Depreciation,60614000.0,56236000.0,41109000.0,30949000.0
Net Interest Income,-2195967000.0,-3324280000.0,-1081792000.0,76956000.0
Interest Expense,5504201000.0,8358249000.0,3762722000.0,2377630000.0
Interest Income,3308234000.0,5033969000.0,2680930000.0,2454586000.0
Normalized Income,1263019000.0,1230594000.0,1111073000.0,1051044000.0
Net Income From Continuing And Discontinued Operation,1263019000.0,1230594000.0,1111073000.0,1051044000.0
Diluted Average Shares,235894231.0,241897158.0,227435169.0,227678946.0
Basic Average Shares,232879490.0,241897158.0,224323547.0,225241918.0
Diluted EPS,4.25,4.015343,3.74884,3.514084
Basic EPS,4.3,4.015343,3.798166,3.553238
Diluted NI Availto Com Stockholders,1002000000.0,971274000.0,851582000.0,800234000.0
Net Income Common Stockholders,1002000000.0,971274000.0,851582000.0,800234000.0
Net Income,1002000000.0,971274000.0,851582000.0,800234000.0
Minority Interests,-17581000.0,-20584000.0,-13544000.0,-2461000.0
Net Income Including Noncontrolling Interests,1019581000.0,991858000.0,865126000.0,802695000.0
Net Income Extraordinary,-261019000.0,-259320000.0,-259491000.0,-250810000.0
Net Income Continuous Operations,1280600000.0,1251178000.0,1124617000.0,1053505000.0
Tax Provision,15965000.0,12232000.0,-59711000.0,115504000.0
Pretax Income,1296565000.0,1263410000.0,1064906000.0,1169009000.0
Other Non Operating Income Expenses,5441000.0,8587000.0,4034000.0,688000.0
Gain On Sale Of Security,4049804000.0,3165159000.0,2817495000.0,1629421000.0
Operating Expense,1073638000.0,997404000.0,874350000.0,811211000.0
Other Operating Expenses,155172000.0,123018000.0,93749000.0,143411000.0
Depreciation And Amortization In Income Statement,60614000.0,56236000.0,41109000.0,30949000.0
Depreciation Income Statement,60614000.0,56236000.0,41109000.0,30949000.0
Selling General And Administration,283075000.0,266076000.0,236780000.0,211545000.0
Selling And Marketing Expense,18706000.0,16910000.0,26701000.0,21376000.0
General And Administrative Expense,264369000.0,249166000.0,210079000.0,190169000.0
Insurance And Claims,1906000.0,1333000.0,868000.0,827000.0
Rent And Landing Fees,32284000.0,29487000.0,24679000.0,19825000.0
Total Revenue,2778394000.0,2445525000.0,2260275000.0,2211034000.0
Operating Revenue,2778394000.0,2445525000.0,2260275000.0,2211034000.0
