ticker,ticker_yf,nome,tipo,participacao_pct,data_atualizacao
TTEN3,TTEN3.SA,3TENTOS,ON      NM,"0,049",2026-08-24
ABCB4,ABCB4.SA,ABC BRASIL,PN      N2,"0,068",2026-08-24
ALOS3,ALOS3.SA,ALLOS,ON  ED  NM,"0,470",2026-08-24
ALPA4,ALPA4.SA,ALPARGATAS,PN      N1,"0,063",2026-08-24
ALUP11,ALUP11.SA,ALUPAR,UNT ED  N2,"0,193",2026-08-24
ABEV3,ABEV3.SA,AMBEV S/A,ON,"2,439",2026-08-24
ANIM3,ANIM3.SA,ANIMA,ON      NM,"0,023",2026-08-24
ARML3,ARML3.SA,ARMAC,ON      NM,"0,022",2026-08-24
ASAI3,ASAI3.SA,ASSAI,ON      NM,"0,428",2026-08-24
AURE3,AURE3.SA,AUREN,ON      NM,"0,124",2026-08-24
AXIA3,AXIA3.SA,AXIA ENERGIA,ON  ATZ NM,"4,256",2026-08-24
AZZA3,AZZA3.SA,AZZAS 2154,ON      NM,"0,063",2026-08-24
B3SA3,B3SA3.SA,B3,ON      NM,"2,869",2026-08-24
BRSR6,BRSR6.SA,BANRISUL,PNB     N1,"0,103",2026-08-24
BBSE3,BBSE3.SA,BBSEGURIDADE,ON      NM,"0,872",2026-08-24
BMOB3,BMOB3.SA,BEMOBI TECH,ON  EJ  NM,"0,069",2026-08-24
BLAU3,BLAU3.SA,BLAU,ON      NM,"0,013",2026-08-24
SOJA3,SOJA3.SA,BOA SAFRA,ON      NM,"0,014",2026-08-24
BRBI11,BRBI11.SA,BR PARTNERS,UNT ED  N2,"0,022",2026-08-24
BBDC3,BBDC3.SA,BRADESCO,ON      N1,"0,844",2026-08-24
BBDC4,BBDC4.SA,BRADESCO,PN      N1,"3,333",2026-08-24
BRAP4,BRAP4.SA,BRADESPAR,PN      N1,"0,201",2026-08-24
SAUD3,SAUD3.SA,BRADSAUDE,ON      NM,"0,133",2026-08-24
BBAS3,BBAS3.SA,BRASIL,ON      NM,"1,994",2026-08-24
BRKM5,BRKM5.SA,BRASKEM,PNA     N1,"0,051",2026-08-24
BRAV3,BRAV3.SA,BRAVA,ON  ATZ NM,"0,248",2026-08-24
BPAC11,BPAC11.SA,BTGP BANCO,UNT     N2,"2,357",2026-08-24
CXSE3,CXSE3.SA,CAIXA SEGURI,ON      NM,"0,417",2026-08-24
CAML3,CAML3.SA,CAMIL,ON      NM,"0,018",2026-08-24
